UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2020,9,4078668,2085951,1992717,1486829,1415902,315385,306638,34568,33490,118645,112559,6654,6351,123870,117777,1600631,1524030,381635,370034,59400,57269,164927,156200,15623,14785,1548043,1473961,1031333,977390,284274,276032,17341,16497,112089,106285,4314,4101,98692,93656,1122434,1063782,337740,327089,33501,31942,150615,142575,10892,10254,537908,518756,455496,438512,31111,30606,17227,16993,6556,6274,2340,2250,25178,24121,478197,460248,43895,42945,25899,25327,14312,13625,4731,4531
R,7,2020,10,4074173,2079208,1994965,1490139,1424013,313065,304465,33449,32580,114791,110152,6280,6149,121484,117606,1601962,1532045,378187,368097,58120,56744,159561,152994,14939,14457,1537745,1472629,1028284,978411,283114,275516,17178,16977,108605,104280,4209,4094,96355,93351,1117385,1064540,335495,326610,33081,32722,145768,139926,10572,10146,541463,522336,461855,445602,29951,28949,16271,15603,6186,5872,2071,2055,25129,24255,484577,467505,42692,41487,25039,24022,13793,13068,4367,4311
R,7,2020,11,4072994,2077786,1995208,1494431,1428455,315024,307303,33048,32014,111424,107677,6219,6214,117640,113545,1602392,1532824,378244,368985,57171,54872,154402,148731,14569,14289,1540008,1477116,1034131,985146,285617,278629,17382,16950,105302,101888,4187,4202,93389,90301,1120224,1068539,336606,328532,32961,31677,141052,136145,10342,10150,537778,518092,460300,443309,29407,28674,15666,15064,6122,5789,2032,2012,24251,23244,482168,464285,41638,40453,24210,23195,13350,12586,4227,4139
R,7,2020,12,4200977,2143929,2057048,1545050,1475282,324939,317217,34375,33093,115324,111135,6446,6229,117795,114092,1653074,1579895,388175,379498,58443,56409,158310,152096,15052,14234,1587979,1523588,1067482,1017811,294928,288066,18021,17587,109354,105322,4381,4133,93813,90669,1153866,1101267,346203,338504,33649,32580,145220,139402,10701,10036,555950,533460,477568,457471,30011,29151,16354,15506,5970,5813,2065,2096,23982,23423,499208,478628,41972,40994,24794,23829,13090,12694,4351,4198
R,7,2020,13,4219921,2155552,2064369,1560150,1489103,325924,315746,34932,33320,113999,109056,6398,6322,114149,110822,1664857,1590539,386927,375589,58668,56442,155686,148921,14747,14384,1599515,1529917,1082112,1029296,296273,287222,18046,17731,107913,103380,4373,4228,90798,88060,1165778,1110200,345629,335768,33479,32635,142577,136608,10536,10153,556037,534452,478038,459807,29651,28524,16886,15589,6086,5676,2025,2094,23351,22762,499079,480339,41298,39821,25189,23807,13109,12313,4211,4231
R,7,2020,14,4186358,2138493,2047865,1558536,1484027,317010,309941,34221,32889,112855,109572,6301,6099,109570,105337,1658978,1580554,374735,365985,57482,55148,153222,147923,14275,13706,1593212,1524012,1087669,1031894,288724,282336,18037,17567,107027,104178,4285,4132,87470,83905,1168140,1109065,335674,327952,33178,31988,140858,136172,10200,9720,545281,523853,470867,452133,28286,27605,16184,15322,5828,5394,2016,1967,22100,21432,490838,471489,39061,38033,24304,23160,12364,11751,4075,3986
R,7,2020,15,4175920,2131384,2044536,1558717,1485551,313495,304614,33817,32944,114139,113365,6315,6118,104901,101944,1654641,1578618,368041,358133,56704,54973,153054,150714,13962,13497,1596154,1531121,1095599,1041552,285957,278015,17967,17565,108534,108062,4332,4268,83765,81659,1172506,1116335,330283,321734,32889,31919,141221,139527,10001,9793,535230,513415,463118,443999,27538,26599,15850,15379,5605,5303,1983,1850,21136,20285,482135,462283,37758,36399,23815,23054,11833,11187,3961,3704
R,7,2020,16,4187874,2136152,2051722,1569396,1496745,311343,303115,33056,32239,114987,114966,6134,5856,101236,98801,1661983,1587063,363263,354361,55454,54129,152752,151380,13612,13118,1612617,1546597,1115132,1058664,284748,277534,17854,17300,109485,109773,4292,4068,81106,79258,1189607,1131331,327083,319423,32673,31918,141262,140429,9889,9452,523535,505125,454264,438081,26595,25581,15202,14939,5502,5193,1842,1788,20130,19543,472376,455732,36180,34938,22781,22211,11490,10951,3723,3666
R,7,2020,17,4164893,2123989,2040904,1562747,1490906,309729,302186,32850,31561,115905,115971,6104,5861,96654,94419,1650859,1577130,359063,350387,54911,53227,151744,150913,13439,12771,1608276,1543060,1114719,1057970,283554,277432,17585,16991,110547,110797,4264,4117,77607,75753,1185719,1127420,323853,316811,32277,31457,140784,140199,9760,9360,515713,497844,448028,432936,26175,24754,15265,14570,5358,5174,1840,1744,19047,18666,465140,449710,35210,33576,22634,21770,10960,10714,3679,3411
R,7,2020,18,4159857,2122009,2037848,1560135,1487328,315349,307753,32787,31305,114674,114136,5923,5702,93141,91624,1645019,1570598,362696,354934,54600,53065,148943,147305,12952,12568,1610384,1546041,1114943,1059168,289448,283011,17756,17139,109483,109202,4184,3980,74570,73541,1183123,1126291,328127,321608,32212,31720,138279,137086,9523,9181,511625,491807,445192,428160,25901,24742,15031,14166,5191,4934,1739,1722,18571,18083,461896,444307,34569,33326,22388,21345,10664,10219,3429,3387
