year,val,var
1980,0.1151878615226945,"White, non-Hispanic"
1980,0.3727291008046837,Black
1980,0.2428218087966448,"Hispanic, any race"
1990,0.11353817682907373,"White, non-Hispanic"
1990,0.42213642213642216,Black
1990,0.2532254370562638,"Hispanic, any race"
2000,0.11458595856148952,"White, non-Hispanic"
2000,0.34998110613272704,Black
2000,0.22147331154684097,"Hispanic, any race"
