year,val,var
1980,0.266124282138124,"White, non-Hispanic"
1980,0.08088455423017304,Black
1980,0.1715886852873154,"Hispanic, any race"
1990,0.3660955676744581,"White, non-Hispanic"
1990,0.11564853756737839,Black
1990,0.18686772284787173,"Hispanic, any race"
2000,0.4692301040555732,"White, non-Hispanic"
2000,0.1343512453722973,Black
2000,0.27067361749974445,"Hispanic, any race"
