"","race","Orleans*","Jefferson*","St. Tammany*","Metro","U.S."
"1","Black",0.230742852532207,0.197593831164462,0.189279302385227,0.210440114078595,0.248608848046186
"2","White, non-Hispanic",0.685210676876089,0.342354850342589,0.438441300159516,0.422548486804117,0.388735818501615
"3","Hispanic, any race",0.438351280039934,0.202465094363019,0.294307827961203,0.257685827141397,0.197139118150008
"4","Asian",0.472691552062868,0.343815829070117,0.239322816467872,0.360431795878312,0.564111719293598
