GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,DJA001,DJA002
"G0201000","1980","4","9","Alaska","02",,"Haines","100",,,,,,,,,,,,"HAINES",0,0
"G0201100","1980","4","9","Alaska","02",,"Juneau","110",,,,,,,,,,,,"JUNEAU",260,41
"G0201220","1980","4","9","Alaska","02",,"Kenai Peninsula","122",,,,,,,,,,,,"KENAI PENINSULA",323,18
"G0201300","1980","4","9","Alaska","02",,"Ketchikan Gateway","130",,,,,,,,,,,,"KETCHIKAN GATEWAY",164,48
"G0201400","1980","4","9","Alaska","02",,"Kobuk","140",,,,,,,,,,,,"KOBUK",27,4
"G0201500","1980","4","9","Alaska","02",,"Kodiak Island","150",,,,,,,,,,,,"KODIAK ISLAND",310,23
"G0201700","1980","4","9","Alaska","02",,"Matanuska-Susitna","170",,,,,,,,,,,,"MATANUSKA-SUSITNA",122,46
"G0201800","1980","4","9","Alaska","02",,"Nome","180",,,,,,,,,,,,"NOME",33,2
"G0201850","1980","4","9","Alaska","02",,"North Slope","185",,,,,,,,,,,,"NORTH SLOPE",28,2
"G0202010","1980","4","9","Alaska","02",,"Prince Of Wales-Outer Ketchikan","201",,,,,,,,,,,,"PRINCE OF WALES-OUTER KETCHIKAN",0,0
"G0202200","1980","4","9","Alaska","02",,"Sitka","220",,,,,,,,,,,,"SITKA",110,15
"G0202310","1980","4","9","Alaska","02",,"Skagway-Yakutat-Angoon","231",,,,,,,,,,,,"SKAGWAY-YAKUTAT-ANGOON",0,0
"G0202400","1980","4","9","Alaska","02",,"Southeast Fairbanks","240",,,,,,,,,,,,"SOUTHEAST FAIRBANKS",129,46
"G0202610","1980","4","9","Alaska","02",,"Valdez-Cordova","261",,,,,,,,,,,,"VALDEZ-CORDOVA",104,20
"G0202700","1980","4","9","Alaska","02",,"Wade Hampton","270",,,,,,,,,,,,"WADE HAMPTON",0,0
"G0202800","1980","4","9","Alaska","02",,"Wrangell-Petersburg","280",,,,,,,,,,,,"WRANGELL-PETERSBURG",67,0
"G0202900","1980","4","9","Alaska","02",,"Yukon-Koyukuk","290",,,,,,,,,,,,"YUKON-KOYUKUK",30,18
"G0400010","1980","4","8","Arizona","04",,"Apache","001",,,,,,,,,,,,"APACHE",1618,224
"G0400030","1980","4","8","Arizona","04",,"Cochise","003",,,,,,,,,,,,"COCHISE",16890,5587
"G0400050","1980","4","8","Arizona","04",,"Coconino","005",,,,,,,,,,,,"COCONINO",5986,942
"G0400070","1980","4","8","Arizona","04",,"Gila","007",,,,,,,,,,,,"GILA",6520,1199
"G0400090","1980","4","8","Arizona","04",,"Graham","009",,,,,,,,,,,,"GRAHAM",4217,886
"G0400110","1980","4","8","Arizona","04",,"Greenlee","011",,,,,,,,,,,,"GREENLEE",4850,573
"G0400130","1980","4","8","Arizona","04","6200","Maricopa","013",,,,,,,,,,,,"MARICOPA",153923,43015
"G0400150","1980","4","8","Arizona","04",,"Mohave","015",,,,,,,,,,,,"MOHAVE",1954,171
"G0400170","1980","4","8","Arizona","04",,"Navajo","017",,,,,,,,,,,,"NAVAJO",3857,855
"G0400190","1980","4","8","Arizona","04","8520","Pima","019",,,,,,,,,,,,"PIMA",88255,21615
"G0400210","1980","4","8","Arizona","04",,"Pinal","021",,,,,,,,,,,,"PINAL",20432,5511
"G0400230","1980","4","8","Arizona","04",,"Santa Cruz","023",,,,,,,,,,,,"SANTA CRUZ",11799,3400
"G0400250","1980","4","8","Arizona","04",,"Yavapai","025",,,,,,,,,,,,"YAVAPAI",3309,839
"G0400270","1980","4","8","Arizona","04",,"Yuma","027",,,,,,,,,,,,"YUMA",22110,6975
"G0500010","1980","3","7","Arkansas","05",,"Arkansas","001",,,,,,,,,,,,"ARKANSAS",70,8
"G0500030","1980","3","7","Arkansas","05",,"Ashley","003",,,,,,,,,,,,"ASHLEY",74,43
"G0500050","1980","3","7","Arkansas","05",,"Baxter","005",,,,,,,,,,,,"BAXTER",106,21
"G0500070","1980","3","7","Arkansas","05","2580","Benton","007",,,,,,,,,,,,"BENTON",589,120
"G0500090","1980","3","7","Arkansas","05",,"Boone","009",,,,,,,,,,,,"BOONE",158,75
"G0500110","1980","3","7","Arkansas","05",,"Bradley","011",,,,,,,,,,,,"BRADLEY",85,22
"G0500130","1980","3","7","Arkansas","05",,"Calhoun","013",,,,,,,,,,,,"CALHOUN",0,0
"G0500150","1980","3","7","Arkansas","05",,"Carroll","015",,,,,,,,,,,,"CARROLL",78,30
"G0500170","1980","3","7","Arkansas","05",,"Chicot","017",,,,,,,,,,,,"CHICOT",33,60
"G0500190","1980","3","7","Arkansas","05",,"Clark","019",,,,,,,,,,,,"CLARK",110,31
"G0500210","1980","3","7","Arkansas","05",,"Clay","021",,,,,,,,,,,,"CLAY",65,2
"G0500230","1980","3","7","Arkansas","05",,"Cleburne","023",,,,,,,,,,,,"CLEBURNE",48,11
"G0500250","1980","3","7","Arkansas","05",,"Cleveland","025",,,,,,,,,,,,"CLEVELAND",0,0
"G0500270","1980","3","7","Arkansas","05",,"Columbia","027",,,,,,,,,,,,"COLUMBIA",90,78
"G0500290","1980","3","7","Arkansas","05",,"Conway","029",,,,,,,,,,,,"CONWAY",41,19
"G0500310","1980","3","7","Arkansas","05",,"Craighead","031",,,,,,,,,,,,"CRAIGHEAD",191,142
"G0500330","1980","3","7","Arkansas","05","2720","Crawford","033",,,,,,,,,,,,"CRAWFORD",207,69
"G0500350","1980","3","7","Arkansas","05","4920","Crittenden","035",,,,,,,,,,,,"CRITTENDEN",232,190
"G0500370","1980","3","7","Arkansas","05",,"Cross","037",,,,,,,,,,,,"CROSS",46,38
"G0500390","1980","3","7","Arkansas","05",,"Dallas","039",,,,,,,,,,,,"DALLAS",53,7
"G0500410","1980","3","7","Arkansas","05",,"Desha","041",,,,,,,,,,,,"DESHA",193,33
"G0500430","1980","3","7","Arkansas","05",,"Drew","043",,,,,,,,,,,,"DREW",46,0
"G0500450","1980","3","7","Arkansas","05",,"Faulkner","045",,,,,,,,,,,,"FAULKNER",113,0
"G0500470","1980","3","7","Arkansas","05",,"Franklin","047",,,,,,,,,,,,"FRANKLIN",144,50
"G0500490","1980","3","7","Arkansas","05",,"Fulton","049",,,,,,,,,,,,"FULTON",29,4
"G0500510","1980","3","7","Arkansas","05",,"Garland","051",,,,,,,,,,,,"GARLAND",333,219
"G0500530","1980","3","7","Arkansas","05",,"Grant","053",,,,,,,,,,,,"GRANT",95,0
"G0500550","1980","3","7","Arkansas","05",,"Greene","055",,,,,,,,,,,,"GREENE",106,41
"G0500570","1980","3","7","Arkansas","05",,"Hempstead","057",,,,,,,,,,,,"HEMPSTEAD",92,10
"G0500590","1980","3","7","Arkansas","05",,"Hot Spring","059",,,,,,,,,,,,"HOT SPRING",162,54
"G0500610","1980","3","7","Arkansas","05",,"Howard","061",,,,,,,,,,,,"HOWARD",59,28
"G0500630","1980","3","7","Arkansas","05",,"Independence","063",,,,,,,,,,,,"INDEPENDENCE",188,150
"G0500650","1980","3","7","Arkansas","05",,"Izard","065",,,,,,,,,,,,"IZARD",59,26
"G0500670","1980","3","7","Arkansas","05",,"Jackson","067",,,,,,,,,,,,"JACKSON",22,8
"G0500690","1980","3","7","Arkansas","05","6240","Jefferson","069",,,,,,,,,,,,"JEFFERSON",573,353
"G0500710","1980","3","7","Arkansas","05",,"Johnson","071",,,,,,,,,,,,"JOHNSON",69,35
"G0500730","1980","3","7","Arkansas","05",,"Lafayette","073",,,,,,,,,,,,"LAFAYETTE",63,26
"G0500750","1980","3","7","Arkansas","05",,"Lawrence","075",,,,,,,,,,,,"LAWRENCE",23,8
"G0500770","1980","3","7","Arkansas","05",,"Lee","077",,,,,,,,,,,,"LEE",27,175
"G0500790","1980","3","7","Arkansas","05",,"Lincoln","079",,,,,,,,,,,,"LINCOLN",40,5
"G0500810","1980","3","7","Arkansas","05","8360","Little River","081",,,,,,,,,,,,"LITTLE RIVER",4,75
"G0500830","1980","3","7","Arkansas","05",,"Logan","083",,,,,,,,,,,,"LOGAN",35,21
"G0500850","1980","3","7","Arkansas","05",,"Lonoke","085",,,,,,,,,,,,"LONOKE",173,41
"G0500870","1980","3","7","Arkansas","05",,"Madison","087",,,,,,,,,,,,"MADISON",0,38
"G0500890","1980","3","7","Arkansas","05",,"Marion","089",,,,,,,,,,,,"MARION",83,10
"G0500910","1980","3","7","Arkansas","05","8360","Miller","091",,,,,,,,,,,,"MILLER",119,55
"G0500930","1980","3","7","Arkansas","05",,"Mississippi","093",,,,,,,,,,,,"MISSISSIPPI",323,349
"G0500950","1980","3","7","Arkansas","05",,"Monroe","095",,,,,,,,,,,,"MONROE",133,91
"G0500970","1980","3","7","Arkansas","05",,"Montgomery","097",,,,,,,,,,,,"MONTGOMERY",67,31
"G0500990","1980","3","7","Arkansas","05",,"Nevada","099",,,,,,,,,,,,"NEVADA",67,49
"G0501010","1980","3","7","Arkansas","05",,"Newton","101",,,,,,,,,,,,"NEWTON",54,16
"G0501030","1980","3","7","Arkansas","05",,"Ouachita","103",,,,,,,,,,,,"OUACHITA",171,0
"G0501050","1980","3","7","Arkansas","05",,"Perry","105",,,,,,,,,,,,"PERRY",0,0
"G0501070","1980","3","7","Arkansas","05",,"Phillips","107",,,,,,,,,,,,"PHILLIPS",285,215
"G0501090","1980","3","7","Arkansas","05",,"Pike","109",,,,,,,,,,,,"PIKE",0,0
"G0501110","1980","3","7","Arkansas","05",,"Poinsett","111",,,,,,,,,,,,"POINSETT",72,43
"G0501130","1980","3","7","Arkansas","05",,"Polk","113",,,,,,,,,,,,"POLK",118,24
"G0501150","1980","3","7","Arkansas","05",,"Pope","115",,,,,,,,,,,,"POPE",145,41
"G0501170","1980","3","7","Arkansas","05",,"Prairie","117",,,,,,,,,,,,"PRAIRIE",59,29
"G0501190","1980","3","7","Arkansas","05","4400","Pulaski","119",,,,,,,,,,,,"PULASKI",2656,630
"G0501210","1980","3","7","Arkansas","05",,"Randolph","121",,,,,,,,,,,,"RANDOLPH",56,17
"G0501230","1980","3","7","Arkansas","05",,"St Francis","123",,,,,,,,,,,,"ST. FRANCIS",167,160
"G0501250","1980","3","7","Arkansas","05","4400","Saline","125",,,,,,,,,,,,"SALINE",287,32
"G0501270","1980","3","7","Arkansas","05",,"Scott","127",,,,,,,,,,,,"SCOTT",101,12
"G0501290","1980","3","7","Arkansas","05",,"Searcy","129",,,,,,,,,,,,"SEARCY",0,0
"G0501310","1980","3","7","Arkansas","05","2720","Sebastian","131",,,,,,,,,,,,"SEBASTIAN",536,186
"G0501330","1980","3","7","Arkansas","05",,"Sevier","133",,,,,,,,,,,,"SEVIER",86,29
"G0501350","1980","3","7","Arkansas","05",,"Sharp","135",,,,,,,,,,,,"SHARP",42,50
"G0501370","1980","3","7","Arkansas","05",,"Stone","137",,,,,,,,,,,,"STONE",0,0
"G0501390","1980","3","7","Arkansas","05",,"Union","139",,,,,,,,,,,,"UNION",90,57
"G0501410","1980","3","7","Arkansas","05",,"Van Buren","141",,,,,,,,,,,,"VAN BUREN",81,57
"G0501430","1980","3","7","Arkansas","05","2580","Washington","143",,,,,,,,,,,,"WASHINGTON",472,267
"G0501450","1980","3","7","Arkansas","05",,"White","145",,,,,,,,,,,,"WHITE",154,34
"G0501470","1980","3","7","Arkansas","05",,"Woodruff","147",,,,,,,,,,,,"WOODRUFF",41,28
"G0501490","1980","3","7","Arkansas","05",,"Yell","149",,,,,,,,,,,,"YELL",35,23
"G0600010","1980","4","9","California","06","7360","Alameda","001",,,,,,"84",,,,,,"ALAMEDA",111382,16068
"G0600030","1980","4","9","California","06",,"Alpine","003",,,,,,,,,,,,"ALPINE",41,0
"G0600050","1980","4","9","California","06",,"Amador","005",,,,,,,,,,,,"AMADOR",663,93
"G0600070","1980","4","9","California","06","1620","Butte","007",,,,,,,,,,,,"BUTTE",5536,1717
"G0600090","1980","4","9","California","06",,"Calaveras","009",,,,,,,,,,,,"CALAVERAS",804,130
"G0600110","1980","4","9","California","06",,"Colusa","011",,,,,,,,,,,,"COLUSA",2122,351
"G0600130","1980","4","9","California","06","7360","Contra Costa","013",,,,,,"84",,,,,,"CONTRA COSTA",48723,6869
"G0600150","1980","4","9","California","06",,"Del Norte","015",,,,,,,,,,,,"DEL NORTE",930,171
"G0600170","1980","4","9","California","06",,"El Dorado","017",,,,,,,,,,,,"EL DORADO",3315,568
"G0600190","1980","4","9","California","06","2840","Fresno","019",,,,,,,,,,,,"FRESNO",110953,37382
"G0600210","1980","4","9","California","06",,"Glenn","021",,,,,,,,,,,,"GLENN",2061,434
"G0600230","1980","4","9","California","06",,"Humboldt","023",,,,,,,,,,,,"HUMBOLDT",2987,759
"G0600250","1980","4","9","California","06",,"Imperial","025",,,,,,,,,,,,"IMPERIAL",40411,10397
"G0600270","1980","4","9","California","06",,"Inyo","027",,,,,,,,,,,,"INYO",944,152
"G0600290","1980","4","9","California","06","0680","Kern","029",,,,,,,,,,,,"KERN",65923,19802
"G0600310","1980","4","9","California","06",,"Kings","031",,,,,,,,,,,,"KINGS",15125,4409
"G0600330","1980","4","9","California","06",,"Lake","033",,,,,,,,,,,,"LAKE",1405,467
"G0600350","1980","4","9","California","06",,"Lassen","035",,,,,,,,,,,,"LASSEN",850,202
"G0600370","1980","4","9","California","06","4480","Los Angeles","037",,,,,,"49",,,,,,"LOS ANGELES",1623727,419277
"G0600390","1980","4","9","California","06",,"Madera","039",,,,,,,,,,,,"MADERA",12126,4725
"G0600410","1980","4","9","California","06","7360","Marin","041",,,,,,"84",,,,,,"MARIN",7712,650
"G0600430","1980","4","9","California","06",,"Mariposa","043",,,,,,,,,,,,"MARIPOSA",376,74
"G0600450","1980","4","9","California","06",,"Mendocino","045",,,,,,,,,,,,"MENDOCINO",2831,689
"G0600470","1980","4","9","California","06",,"Merced","047",,,,,,,,,,,,"MERCED",25311,8343
"G0600490","1980","4","9","California","06",,"Modoc","049",,,,,,,,,,,,"MODOC",352,18
"G0600510","1980","4","9","California","06",,"Mono","051",,,,,,,,,,,,"MONO",312,69
"G0600530","1980","4","9","California","06","7120","Monterey","053",,,,,,,,,,,,"MONTEREY",58619,13387
"G0600550","1980","4","9","California","06","8720","Napa","055",,,,,,"84",,,,,,"NAPA",6876,1375
"G0600570","1980","4","9","California","06",,"Nevada","057",,,,,,,,,,,,"NEVADA",1395,149
"G0600590","1980","4","9","California","06","0360","Orange","059",,,,,,"49",,,,,,"ORANGE",240162,41332
"G0600610","1980","4","9","California","06","6920","Placer","061",,,,,,,,,,,,"PLACER",7219,894
"G0600630","1980","4","9","California","06",,"Plumas","063",,,,,,,,,,,,"PLUMAS",554,43
"G0600650","1980","4","9","California","06","6780","Riverside","065",,,,,,"49",,,,,,"RIVERSIDE",99129,22913
"G0600670","1980","4","9","California","06","6920","Sacramento","067",,,,,,,,,,,,"SACRAMENTO",59312,13248
"G0600690","1980","4","9","California","06",,"San Benito","069",,,,,,,,,,,,"SAN BENITO",9218,2076
"G0600710","1980","4","9","California","06","6780","San Bernardino","071",,,,,,"49",,,,,,"SAN BERNARDINO",134120,27911
"G0600730","1980","4","9","California","06","7320","San Diego","073",,,,,,,,,,,,"SAN DIEGO",208916,55028
"G0600750","1980","4","9","California","06","7360","San Francisco","075",,,,,,"84",,,,,,"SAN FRANCISCO",68687,14146
"G0600770","1980","4","9","California","06","8120","San Joaquin","077",,,,,,,,,,,,"SAN JOAQUIN",50133,14821
"G0600790","1980","4","9","California","06",,"San Luis Obispo","079",,,,,,,,,,,,"SAN LUIS OBISPO",10428,2976
"G0600810","1980","4","9","California","06","7360","San Mateo","081",,,,,,"84",,,,,,"SAN MATEO",64496,7584
"G0600830","1980","4","9","California","06","7480","Santa Barbara","083",,,,,,,,,,,,"SANTA BARBARA",45907,8107
"G0600850","1980","4","9","California","06","7400","Santa Clara","085",,,,,,"84",,,,,,"SANTA CLARA",193663,29093
"G0600870","1980","4","9","California","06","7485","Santa Cruz","087",,,,,,,,,,,,"SANTA CRUZ",21798,5091
"G0600890","1980","4","9","California","06","6690","Shasta","089",,,,,,,,,,,,"SHASTA",2961,479
"G0600910","1980","4","9","California","06",,"Sierra","091",,,,,,,,,,,,"SIERRA",165,31
"G0600930","1980","4","9","California","06",,"Siskiyou","093",,,,,,,,,,,,"SISKIYOU",1537,246
"G0600950","1980","4","9","California","06","8720","Solano","095",,,,,,"84",,,,,,"SOLANO",20827,2998
"G0600970","1980","4","9","California","06","7500","Sonoma","097",,,,,,"84",,,,,,"SONOMA",17187,3108
"G0600990","1980","4","9","California","06","5170","Stanislaus","099",,,,,,,,,,,,"STANISLAUS",31255,8252
"G0601010","1980","4","9","California","06","9340","Sutter","101",,,,,,,,,,,,"SUTTER",4628,1422
"G0601030","1980","4","9","California","06",,"Tehama","103",,,,,,,,,,,,"TEHAMA",1667,416
"G0601050","1980","4","9","California","06",,"Trinity","105",,,,,,,,,,,,"TRINITY",261,48
"G0601070","1980","4","9","California","06","8780","Tulare","107",,,,,,,,,,,,"TULARE",51360,20783
"G0601090","1980","4","9","California","06",,"Tuolumne","109",,,,,,,,,,,,"TUOLUMNE",1188,308
"G0601110","1980","4","9","California","06","6000","Ventura","111",,,,,,"49",,,,,,"VENTURA",93793,17687
"G0601130","1980","4","9","California","06","6920","Yolo","113",,,,,,,,,,,,"YOLO",15461,3538
"G0601150","1980","4","9","California","06","9340","Yuba","115",,,,,,,,,,,,"YUBA",3094,1052
"G0800010","1980","4","8","Colorado","08","2080","Adams","001",,,,,,,,,,,,"ADAMS",34026,4093
"G0800030","1980","4","8","Colorado","08",,"Alamosa","003",,,,,,,,,,,,"ALAMOSA",2474,1102
"G0800050","1980","4","8","Colorado","08","2080","Arapahoe","005",,,,,,,,,,,,"ARAPAHOE",11593,1322
"G0800070","1980","4","8","Colorado","08",,"Archuleta","007",,,,,,,,,,,,"ARCHULETA",789,356
"G0800090","1980","4","8","Colorado","08",,"Baca","009",,,,,,,,,,,,"BACA",200,136
"G0800110","1980","4","8","Colorado","08",,"Bent","011",,,,,,,,,,,,"BENT",1097,345
"G0800130","1980","4","8","Colorado","08","2080","Boulder","013",,,,,,,,,,,,"BOULDER",8281,1498
"G0800150","1980","4","8","Colorado","08",,"Chaffee","015",,,,,,,,,,,,"CHAFFEE",998,153
"G0800170","1980","4","8","Colorado","08",,"Cheyenne","017",,,,,,,,,,,,"CHEYENNE",33,16
"G0800190","1980","4","8","Colorado","08",,"Clear Creek","019",,,,,,,,,,,,"CLEAR CREEK",266,12
"G0800210","1980","4","8","Colorado","08",,"Conejos","021",,,,,,,,,,,,"CONEJOS",3014,1773
"G0800230","1980","4","8","Colorado","08",,"Costilla","023",,,,,,,,,,,,"COSTILLA",1472,908
"G0800250","1980","4","8","Colorado","08",,"Crowley","025",,,,,,,,,,,,"CROWLEY",448,135
"G0800270","1980","4","8","Colorado","08",,"Custer","027",,,,,,,,,,,,"CUSTER",0,0
"G0800290","1980","4","8","Colorado","08",,"Delta","029",,,,,,,,,,,,"DELTA",1231,522
"G0800310","1980","4","8","Colorado","08","2080","Denver","031",,,,,,,,,,,,"DENVER",69185,21753
"G0800330","1980","4","8","Colorado","08",,"Dolores","033",,,,,,,,,,,,"DOLORES",47,22
"G0800350","1980","4","8","Colorado","08","2080","Douglas","035",,,,,,,,,,,,"DOUGLAS",675,35
