GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E34001,E34002,E34003,E34004,E34005,E34006,E34007,E34008,E34009,E34010,E34011,E34012,E34013,E34014,E34015,E34016,E34017,E34018,E34019,E34020,E34021,E34022,E34023,E34024,E34025,E34026,E34027,E34028,E34029,E34030,E34031,E34032,E34033,E34034,E34035,E35001,E35002,E35003,E35004,E35005,E35006,E35007
"G0100010","1990",,,,,,,,,,"Autauga","001",,"6","5240",,"9999","3","Alabama","01",,,,,"Autauga County",1495,2784,5666,3561,819,1895,886,927,1014,979,380,120,158,72,0,3,20,5,0,0,4,16,8,0,17,0,7,0,0,5,6,10,0,4,0,13,15,42,26,0,16,0
"G0100030","1990",,,,,,,,,,"Baldwin","003",,"6","5160",,"9999","3","Alabama","01",,,,,"Baldwin County",4838,8893,18608,11864,2789,6829,3585,1437,1922,1765,831,219,196,173,104,96,133,125,46,33,8,0,8,13,8,8,21,25,7,4,25,10,0,0,0,103,90,97,124,18,53,33
"G0100050","1990",,,,,,,,,,"Barbour","005",,"6","9999",,"9999","3","Alabama","01",,,,,"Barbour County",1322,1785,2816,1559,504,1059,532,2081,1767,1433,383,161,160,75,0,10,0,15,0,11,0,0,0,9,0,0,0,20,0,0,0,0,0,0,0,6,1,0,5,0,9,6
"G0100070","1990",,,,,,,,,,"Bibb","007",,"6","9999",,"9999","3","Alabama","01",,,,,"Bibb County",1663,2013,2984,922,267,237,208,457,713,423,88,55,16,15,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,10,0,0,0,0
"G0100090","1990",,,,,,,,,,"Blount","009",,"6","1000",,"9999","3","Alabama","01",,,,,"Blount County",4214,5548,8624,3554,1066,1145,607,39,52,119,64,21,7,6,35,13,20,32,0,0,0,9,0,0,0,8,0,8,33,17,0,0,0,0,0,41,17,12,9,0,0,0
"G0100110","1990",,,,,,,,,,"Bullock","011",,"6","9999",,"9999","3","Alabama","01",,,,,"Bullock County",301,484,682,372,116,200,150,1301,1336,976,336,130,216,110,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,8
"G0100130","1990",,,,,,,,,,"Butler","013",,"6","9999",,"9999","3","Alabama","01",,,,,"Butler County",1518,2029,2904,1204,397,574,319,1556,1269,1006,339,162,95,95,0,2,13,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,23,4,5,0,2,0,6
"G0100150","1990",,,,,,,,,,"Calhoun","015",,"6","0450",,"9999","3","Alabama","01",,,,,"Calhoun County",7623,11365,17953,10802,3041,5751,3349,1654,2739,3532,2105,606,772,305,9,38,22,85,31,14,0,100,82,148,69,45,41,21,0,23,56,36,15,6,7,53,43,224,134,31,51,26
"G0100170","1990",,,,,,,,,,"Chambers","017",,"6","9999",,"9999","3","Alabama","01",,,,,"Chambers County",2496,4097,4857,2234,892,1172,591,2002,2211,1868,594,262,205,128,8,13,14,8,0,0,0,0,6,0,0,0,0,0,0,0,10,8,0,5,0,17,0,26,8,0,5,0
"G0100190","1990",,,,,,,,,,"Cherokee","019",,"6","9999",,"9999","3","Alabama","01",,,,,"Cherokee County",2537,3160,3792,1428,418,463,353,134,167,295,102,11,30,19,8,8,5,4,0,0,1,0,2,0,0,3,0,0,4,10,0,0,0,0,0,10,16,11,12,0,2,0
"G0100210","1990",,,,,,,,,,"Chilton","021",,"6","9999",,"9999","3","Alabama","01",,,,,"Chilton County",3467,4391,6310,2460,630,772,664,487,639,446,256,67,92,22,18,7,5,7,15,0,0,0,0,9,0,0,0,0,5,9,0,3,0,0,0,26,2,11,3,0,0,0
"G0100230","1990",,,,,,,,,,"Choctaw","023",,"6","9999",,"9999","3","Alabama","01",,,,,"Choctaw County",1024,1167,2013,837,225,387,255,1186,1104,1052,252,104,120,66,0,0,2,0,0,5,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,4,13,21,0,0,0,0
"G0100250","1990",,,,,,,,,,"Clarke","025",,"6","9999",,"9999","3","Alabama","01",,,,,"Clarke County",1203,1823,3702,1469,561,942,549,1663,1778,1733,420,154,169,90,0,4,0,0,0,5,0,0,0,10,0,4,0,0,0,0,0,0,6,0,0,18,5,24,13,6,0,0
"G0100270","1990",,,,,,,,,,"Clay","027",,"6","9999",,"9999","3","Alabama","01",,,,,"Clay County",1339,1998,2333,985,258,331,254,259,397,356,51,25,21,20,0,0,0,11,0,0,0,2,4,1,10,0,0,2,0,0,2,0,0,0,0,0,13,8,0,0,0,0
"G0100290","1990",,,,,,,,,,"Cleburne","029",,"6","9999",,"9999","3","Alabama","01",,,,,"Cleburne County",1618,2204,2304,865,233,271,251,129,105,78,6,0,0,7,0,6,12,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"G0100310","1990",,,,,,,,,,"Coffee","031",,"6","9999",,"9999","3","Alabama","01",,,,,"Coffee County",3019,3498,5714,4166,1418,2537,1334,849,1073,973,502,151,174,162,10,9,37,18,26,14,9,13,38,87,36,21,28,0,5,8,13,16,0,16,0,24,8,45,56,28,58,7
"G0100330","1990",,,,,,,,,,"Colbert","033",,"6","2650",,"9999","3","Alabama","01",,,,,"Colbert County",3974,5812,9461,4966,1294,2270,1269,932,1167,1585,690,294,295,92,23,27,33,40,7,2,14,10,0,31,0,2,6,0,7,0,0,0,0,8,0,7,30,21,19,0,8,0
"G0100350","1990",,,,,,,,,,"Conecuh","035",,"6","9999",,"9999","3","Alabama","01",,,,,"Conecuh County",1325,1081,1927,718,226,295,161,814,1010,990,185,90,77,41,0,10,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,2,12,13,0,0,0,0
"G0100370","1990",,,,,,,,,,"Coosa","037",,"6","9999",,"9999","3","Alabama","01",,,,,"Coosa County",685,1448,1708,630,177,240,150,578,597,691,151,48,35,23,2,5,4,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100390","1990",,,,,,,,,,"Covington","039",,"6","9999",,"9999","3","Alabama","01",,,,,"Covington County",4492,4278,6350,3034,1209,1361,703,661,802,585,280,100,95,35,17,14,11,16,3,0,0,12,0,16,0,0,4,0,12,0,0,0,0,0,0,12,8,17,0,6,0,0
"G0100410","1990",,,,,,,,,,"Crenshaw","041",,"6","9999",,"9999","3","Alabama","01",,,,,"Crenshaw County",1320,1610,2036,856,299,480,180,687,666,386,140,32,51,26,0,3,4,0,0,0,3,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,18,5,0,0,0
"G0100430","1990",,,,,,,,,,"Cullman","043",,"6","9999",,"9999","3","Alabama","01",,,,,"Cullman County",8169,9686,13409,6085,2752,2098,1289,51,106,78,35,10,0,6,18,26,8,0,0,0,9,27,8,34,0,0,0,3,2,0,0,0,0,0,0,8,21,34,2,0,0,0
"G0100450","1990",,,,,,,,,,"Dale","045",,"6","2180",,"9999","3","Alabama","01",,,,,"Dale County",2520,3313,6794,5913,1990,2460,1089,658,813,1126,1070,295,231,88,24,39,56,86,24,15,10,63,78,135,75,27,40,7,17,11,88,65,30,8,0,35,30,182,184,45,33,5
"G0100470","1990",,,,,,,,,,"Dallas","047",,"6","9999",,"9999","3","Alabama","01",,,,,"Dallas County",1337,2302,4620,2500,727,1638,860,3562,4287,3370,1541,654,547,403,0,0,12,6,0,0,0,0,0,0,20,0,0,26,0,0,8,0,0,0,0,5,0,15,7,16,0,0
"G0100490","1990",,,,,,,,,,"DeKalb","049",,"6","9999",,"9999","3","Alabama","01",,,,,"DeKalb County",7690,8490,10542,4060,1319,1418,1033,92,283,138,42,17,4,3,10,65,51,55,16,5,22,0,13,0,17,0,29,6,19,3,39,3,0,0,0,33,27,61,3,3,0,5
"G0100510","1990",,,,,,,,,,"Elmore","051",,"6","5240",,"9999","3","Alabama","01",,,,,"Elmore County",2456,4603,8453,4509,1444,2224,1410,1089,2298,1640,496,166,247,120,23,29,52,18,14,8,5,10,10,28,27,0,9,0,0,0,15,14,7,0,8,13,27,26,22,17,36,31
"G0100530","1990",,,,,,,,,,"Escambia","053",,"6","9999",,"9999","3","Alabama","01",,,,,"Escambia County",2536,3112,6119,2379,721,831,526,1247,1834,1558,595,146,230,117,150,138,148,59,34,0,0,5,3,0,3,0,3,0,9,3,16,2,3,0,0,24,38,36,3,5,12,0
"G0100550","1990",,,,,,,,,,"Etowah","055",,"6","2880",,"9999","3","Alabama","01",,,,,"Etowah County",7900,11934,17822,10146,3386,3808,2338,1550,2074,2295,1056,467,214,225,28,36,48,34,18,19,7,15,19,22,58,29,29,32,23,9,7,7,0,6,11,23,21,44,39,11,11,11
"G0100570","1990",,,,,,,,,,"Fayette","057",,"6","9999",,"9999","3","Alabama","01",,,,,"Fayette County",2096,2395,3246,1284,364,616,342,261,268,454,231,28,35,2,0,0,0,8,0,0,0,0,0,0,2,0,0,0,40,0,0,0,0,0,0,58,9,6,6,0,0,0
"G0100590","1990",,,,,,,,,,"Franklin","059",,"6","9999",,"9999","3","Alabama","01",,,,,"Franklin County",3673,4190,5345,2360,702,726,473,136,174,279,76,33,43,14,8,18,16,0,0,2,0,13,0,0,0,0,0,11,0,0,0,0,0,0,0,6,17,15,9,4,12,0
"G0100610","1990",,,,,,,,,,"Geneva","061",,"6","9999",,"9999","3","Alabama","01",,,,,"Geneva County",2789,3091,4496,1879,600,662,338,502,440,418,48,43,30,6,10,34,8,6,3,0,10,7,11,0,18,0,0,0,0,12,2,0,0,0,12,2,27,7,10,0,0,14
"G0100630","1990",,,,,,,,,,"Greene","063",,"6","9999",,"9999","3","Alabama","01",,,,,"Greene County",117,304,566,230,65,174,43,1344,969,1156,435,108,226,173,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,6,0,3,0,0,2,0
"G0100650","1990",,,,,,,,,,"Hale","065",,"6","9999",,"9999","3","Alabama","01",,,,,"Hale County",485,932,1500,626,179,360,219,1532,1269,1362,340,197,136,92,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,6,11,11,0,0,0
"G0100670","1990",,,,,,,,,,"Henry","067",,"6","9999",,"9999","3","Alabama","01",,,,,"Henry County",779,1461,2038,1329,501,503,252,1011,846,826,207,86,28,29,6,13,7,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,3,5,0,0,0
"G0100690","1990",,,,,,,,,,"Houston","069",,"6","2180",,"9999","3","Alabama","01",,,,,"Houston County",4356,6448,12465,8060,2667,4586,2253,2363,2915,2492,1060,312,556,190,37,29,23,26,33,24,0,29,36,40,10,32,22,51,7,6,6,0,6,14,0,18,26,60,48,27,35,0
"G0100710","1990",,,,,,,,,,"Jackson","071",,"6","9999",,"9999","3","Alabama","01",,,,,"Jackson County",5877,6430,9246,3943,1282,1342,953,173,255,411,185,33,54,34,87,87,199,102,23,12,29,15,5,20,0,0,19,28,0,3,0,0,0,0,0,2,38,17,30,0,0,0
"G0100730","1990",,,,,,,,,,"Jefferson","073",,"6","1000",,"9999","3","Alabama","01",,,,,"Jefferson County",20307,42038,86713,58599,13079,44694,23649,18125,30098,33139,26645,10344,10341,4735,79,175,238,134,66,78,55,183,234,255,246,86,409,664,60,26,48,55,18,32,61,105,179,357,359,121,244,215
"G0100750","1990",,,,,,,,,,"Lamar","075",,"6","9999",,"9999","3","Alabama","01",,,,,"Lamar County",1979,2227,3110,958,258,429,165,266,323,318,73,16,28,9,0,2,4,8,0,0,0,3,2,9,8,0,0,0,0,0,0,0,0,0,0,2,12,17,0,0,12,0
"G0100770","1990",,,,,,,,,,"Lauderdale","077",,"6","2650",,"9999","3","Alabama","01",,,,,"Lauderdale County",6888,7566,15519,7306,1776,5251,2728,676,1289,985,520,163,316,72,38,48,66,73,12,8,5,7,0,15,0,14,33,30,0,8,0,0,17,7,0,34,33,30,21,17,12,0
"G0100790","1990",,,,,,,,,,"Lawrence","079",,"6","2030",,"9999","3","Alabama","01",,,,,"Lawrence County",3257,3974,5944,1421,499,688,285,532,662,893,199,26,121,83,87,149,450,155,28,19,15,0,2,6,0,0,0,0,0,0,0,3,0,0,0,10,0,0,3,0,0,0
"G0100810","1990",,,,,,,,,,"Lee","081",,"6","9999",,"9999","3","Alabama","01",,,,,"Lee County",2214,4512,8470,6347,1819,5501,4532,2856,2532,3191,1245,498,481,296,9,0,7,14,5,0,0,14,42,32,137,26,272,405,0,0,14,0,0,4,9,0,38,76,65,9,12,46
"G0100830","1990",,,,,,,,,,"Limestone","083",,"6","9999",,"9999","3","Alabama","01",,,,,"Limestone County",4413,5974,9512,4535,1437,3309,1236,991,1431,1067,427,146,114,80,13,34,13,19,0,12,16,0,0,19,21,0,21,23,0,0,9,0,0,0,0,0,0,35,20,7,7,17
"G0100850","1990",,,,,,,,,,"Lowndes","085",,"6","9999",,"9999","3","Alabama","01",,,,,"Lowndes County",179,345,852,409,142,213,149,1309,1174,1347,393,226,140,59,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,4,3,0,0
"G0100870","1990",,,,,,,,,,"Macon","087",,"6","9999",,"9999","3","Alabama","01",,,,,"Macon County",248,606,820,365,73,247,118,2394,1988,2373,1529,874,1186,868,0,0,0,0,0,0,0,0,0,2,3,0,23,34,0,0,0,8,0,0,0,0,12,3,11,0,0,9
"G0100890","1990",,,,,,,,,,"Madison","089",,"6","3440",,"9999","3","Alabama","01",,,,,"Madison County",8558,13360,29634,26030,7507,27160,12177,2799,4973,5096,5227,1812,3292,1519,36,98,137,179,56,137,72,161,208,341,322,126,745,815,18,0,35,75,27,113,19,53,106,202,423,132,460,112
"G0100910","1990",,,,,,,,,,"Marengo","091",,"6","9999",,"9999","3","Alabama","01",,,,,"Marengo County",375,1498,3107,1172,370,806,378,1726,1823,1730,441,186,247,175,0,0,3,0,0,6,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,1,7,0,0,0
"G0100930","1990",,,,,,,,,,"Marion","093",,"6","9999",,"9999","3","Alabama","01",,,,,"Marion County",4445,4934,5450,2127,609,723,537,136,201,125,77,10,6,0,0,10,7,16,13,0,9,0,2,2,0,0,26,0,0,0,0,0,0,0,0,18,0,9,0,0,9,0
"G0100950","1990",,,,,,,,,,"Marshall","095",,"6","9999",,"9999","3","Alabama","01",,,,,"Marshall County",7931,9589,13436,7370,2229,3388,1901,173,203,135,67,9,13,21,22,38,35,31,0,8,8,5,19,0,13,0,8,12,0,5,9,0,0,0,0,26,40,35,8,8,0,10
"G0100970","1990",,,,,,,,,,"Mobile","097",,"6","5160",,"9999","3","Alabama","01",,,,,"Mobile County",13458,27951,56004,30569,7299,20170,9712,10805,15784,18458,9527,3657,3755,1921,226,293,310,202,46,108,16,494,225,222,225,107,209,138,63,41,120,63,27,37,12,221,334,603,352,129,180,103
"G0100990","1990",,,,,,,,,,"Monroe","099",,"6","9999",,"9999","3","Alabama","01",,,,,"Monroe County",1230,1839,2999,1461,471,992,308,1218,1435,1422,372,92,89,132,37,24,43,3,6,8,0,4,12,14,8,0,4,5,0,0,0,0,0,0,0,6,9,0,2,3,0,2
"G0101010","1990",,,,,,,,,,"Montgomery","101",,"6","5240",,"9999","3","Alabama","01",,,,,"Montgomery County",4138,8583,21375,18780,4451,14889,9148,7284,11375,11101,6745,2404,4272,2469,17,41,103,77,0,65,6,81,141,203,130,70,86,117,7,46,62,55,21,23,0,64,95,262,226,49,109,83
"G0101030","1990",,,,,,,,,,"Morgan","103",,"6","2030",,"9999","3","Alabama","01",,,,,"Morgan County",7283,9914,17544,11219,3369,6592,2999,1059,1432,1633,686,228,165,96,48,43,67,43,7,47,0,6,9,11,11,5,64,51,20,0,27,32,0,5,0,72,27,96,61,8,31,36
"G0101050","1990",,,,,,,,,,"Perry","105",,"6","9999",,"9999","3","Alabama","01",,,,,"Perry County",385,552,961,362,143,313,233,1427,1127,975,238,121,149,116,8,8,0,17,2,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,16,2,0,0,0
"G0101070","1990",,,,,,,,,,"Pickens","107",,"6","9999",,"9999","3","Alabama","01",,,,,"Pickens County",1191,1681,3312,1004,467,455,258,1331,1474,1150,367,103,96,48,4,0,3,8,0,2,0,0,1,0,6,0,0,0,0,0,0,2,0,0,0,0,5,0,2,0,0,0
"G0101090","1990",,,,,,,,,,"Pike","109",,"6","9999",,"9999","3","Alabama","01",,,,,"Pike County",1614,1999,3106,1678,280,1137,774,1543,1264,1269,492,123,231,25,18,0,22,2,5,7,14,13,0,9,32,6,15,39,0,0,0,0,0,0,0,8,20,3,0,5,7,0
"G0101110","1990",,,,,,,,,,"Randolph","111",,"6","9999",,"9999","3","Alabama","01",,,,,"Randolph County",2015,2689,3077,1238,339,537,364,887,752,591,157,42,66,18,16,0,8,0,0,7,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,8,7,16,3,0,2,0
"G0101130","1990",,,,,,,,,,"Russell","113",,"6","1800",,"9999","3","Alabama","01",,,,,"Russell County",2396,4293,6435,2979,849,1444,557,3266,2724,2659,1174,256,273,146,23,19,16,15,24,0,8,0,0,10,5,12,4,0,23,6,33,0,18,0,5,39,21,50,42,34,7,5
"G0101150","1990",,,,,,,,,,"St Clair","115",,"6","1000",,"9999","3","Alabama","01",,,,,"St. Clair County",4679,6359,9719,4475,1260,1631,929,557,799,728,418,99,66,59,15,17,41,15,0,13,3,10,2,4,4,0,5,2,5,7,0,0,0,0,0,17,14,15,0,3,7,0
"G0101170","1990",,,,,,,,,,"Shelby","117",,"6","1000",,"9999","3","Alabama","01",,,,,"Shelby County",4319,7196,14763,11171,2708,12147,5138,649,1235,963,413,154,338,154,35,40,50,54,0,21,0,11,12,92,62,0,49,125,0,10,16,0,7,6,0,24,26,59,57,30,48,58
"G0101190","1990",,,,,,,,,,"Sumter","119",,"6","9999",,"9999","3","Alabama","01",,,,,"Sumter County",253,425,860,670,117,361,295,1646,1926,1473,455,93,255,85,0,0,0,0,0,0,0,0,9,10,21,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"G0101210","1990",,,,,,,,,,"Talladega","121",,"6","9999",,"9999","3","Alabama","01",,,,,"Talladega County",5093,7019,11387,5004,1496,2297,1513,2231,3679,3251,1529,470,422,451,8,38,41,24,10,10,0,0,18,27,32,0,10,0,0,12,7,11,0,1,0,5,18,89,42,8,8,3
"G0101230","1990",,,,,,,,,,"Tallapoosa","123",,"6","9999",,"9999","3","Alabama","01",,,,,"Tallapoosa County",2985,4300,5706,2901,964,1875,844,1420,1906,1458,393,182,85,55,0,0,8,12,0,6,0,0,0,8,7,2,15,15,0,0,7,0,0,0,7,8,7,13,0,0,7,0
"G0101250","1990",,,,,,,,,,"Tuscaloosa","125",,"6","8600",,"9999","3","Alabama","01",,,,,"Tuscaloosa County",6665,10882,19710,11441,3412,8136,6779,4117,5351,4900,3150,1140,1357,864,0,0,29,57,33,11,26,15,0,22,89,62,188,381,5,27,28,38,7,0,40,26,131,107,36,7,43,84
"G0101270","1990",,,,,,,,,,"Walker","127",,"6","1000",,"9999","3","Alabama","01",,,,,"Walker County",8120,9983,13371,5103,1824,1755,1267,398,776,679,343,133,48,82,19,13,12,10,4,0,0,18,14,18,12,0,0,2,0,9,0,7,0,0,0,25,32,24,12,0,3,0
"G0101290","1990",,,,,,,,,,"Washington","129",,"6","9999",,"9999","3","Alabama","01",,,,,"Washington County",1283,1445,2748,819,201,338,174,639,521,790,277,88,76,69,119,159,155,30,3,14,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,15,5,8,0,0,0,0
"G0101310","1990",,,,,,,,,,"Wilcox","131",,"6","9999",,"9999","3","Alabama","01",,,,,"Wilcox County",278,546,941,501,159,353,206,1709,1238,1098,317,121,187,52,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"G0101330","1990",,,,,,,,,,"Winston","133",,"6","9999",,"9999","3","Alabama","01",,,,,"Winston County",3537,3810,4182,1516,545,458,318,4,20,0,8,4,0,0,4,15,0,0,0,0,0,6,6,13,0,0,0,0,0,0,0,0,0,0,0,10,30,8,0,0,0,0
"G0200130","1990",,,,,,,,,,"Aleutians East","013",,"9","9999",,"9999","4","Alaska","02",,,,,"Aleutians East Borough",10,49,165,178,35,66,47,0,0,0,0,7,0,0,150,120,206,45,9,3,0,94,50,104,20,17,69,13,28,13,6,19,8,0,0,43,13,22,27,18,32,0
"G0200160","1990",,,,,,,,,,"Aleutians West","016",,"9","9999",,"9999","4","Alaska","02",,,,,"Aleutians West Census Area",18,168,1231,1218,370,487,136,2,23,87,129,31,33,8,149,113,250,80,15,17,12,62,145,173,173,15,57,16,39,55,26,80,5,44,0,41,59,72,141,5,71,0
"G0200200","1990",,,,,,,,,,"Anchorage","020",,"9","0380",,"9999","4","Alaska","02",,,,,"Anchorage Borough",1916,6688,27613,33800,9699,21334,12240,258,594,1907,2857,732,741,250,665,1199,2678,2149,476,389,165,832,525,1793,1436,394,1099,290,165,297,513,542,235,131,53,369,632,1165,1458,501,381,199
"G0200500","1990",,,,,,,,,,"Bethel","050",,"9","9999",,"9999","4","Alaska","02",,,,,"Bethel Census Area",20,43,292,336,100,420,291,2,1,9,10,0,4,6,1934,575,1848,575,167,108,42,4,0,21,8,4,17,0,3,2,0,2,2,4,4,2,4,10,14,2,9,8
"G0200600","1990",,,,,,,,,,"Bristol Bay Borough","060",,"9","9999",,"9999","4","Alaska","02",,,,,"Bristol Bay Borough",11,8,143,245,49,89,60,0,0,0,22,0,0,9,44,28,78,62,21,5,5,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,3,13,0,4,0
"G0200700","1990",,,,,,,,,,"Dillingham","070",,"9","9999",,"9999","4","Alaska","02",,,,,"Dillingham Census Area",15,35,161,168,66,164,101,0,0,2,0,0,0,0,437,164,516,214,32,49,10,2,0,6,5,2,0,0,0,0,2,0,2,6,0,0,0,2,0,2,9,0
"G0200900","1990",,,,,,,,,,"Fairbanks North Star","090",,"9","9999",,"9999","4","Alaska","02",,,,,"Fairbanks North Star Borough",683,2388,10086,11120,2422,6408,3737,127,194,806,760,196,214,127,290,383,926,624,123,104,45,98,194,312,265,14,123,102,27,28,121,148,24,59,10,87,68,388,414,76,123,51
"G0201000","1990",,,,,,,,,,"Haines","100",,"9","9999",,"9999","4","Alaska","02",,,,,"Haines Borough",60,173,312,351,73,181,57,0,0,2,0,0,0,0,24,36,61,29,11,0,2,0,0,2,0,2,5,0,6,0,0,6,0,0,0,6,0,0,6,0,0,0
"G0201100","1990",,,,,,,,,,"Juneau","110",,"9","9999",,"9999","4","Alaska","02",,,,,"Juneau Borough",260,757,3335,4099,909,2919,1872,0,33,62,22,6,14,44,196,244,571,381,119,86,23,87,84,139,138,59,157,16,10,30,30,42,6,11,8,17,64,78,108,16,54,13
"G0201220","1990",,,,,,,,,,"Kenai Peninsula","122",,"9","9999",,"9999","4","Alaska","02",,,,,"Kenai Peninsula Borough",699,1914,7818,6096,1641,3111,1187,2,32,34,88,0,3,5,222,217,648,335,112,18,15,11,22,44,40,20,33,2,0,0,16,22,16,0,0,12,47,64,145,53,30,31
"G0201300","1990",,,,,,,,,,"Ketchikan Gateway","130",,"9","9999",,"9999","4","Alaska","02",,,,,"Ketchikan Gateway Borough",169,709,2241,1948,517,1095,557,7,6,31,0,9,8,0,73,185,339,289,49,22,4,44,43,37,67,26,44,1,6,10,0,15,0,0,0,12,20,39,33,0,35,0
"G0201500","1990",,,,,,,,,,"Kodiak Island","150",,"9","9999",,"9999","4","Alaska","02",,,,,"Kodiak Island Borough",76,371,1745,1568,355,1038,431,0,6,20,35,0,10,2,247,154,407,174,54,46,4,160,140,256,152,65,77,28,25,15,50,37,2,21,17,34,24,107,82,37,44,27
"G0201640","1990",,,,,,,,,,"Lake And Peninsula","164",,"9","9999",,"9999","4","Alaska","02",,,,,"Lake and Peninsula Borough",12,37,55,32,12,79,30,0,0,0,0,0,0,0,205,98,252,52,16,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,2,0,0,0,2
"G0201700","1990",,,,,,,,,,"Matanuska-Susitna","170",,"9","9999",,"9999","4","Alaska","02",,,,,"Matanuska-Susitna Borough",658,1864,7367,6326,1708,2637,1449,0,10,69,38,7,24,8,130,167,290,256,95,20,38,11,13,52,34,0,35,14,8,0,77,26,2,7,0,13,10,133,100,25,42,8
"G0201800","1990",,,,,,,,,,"Nome","180",,"9","9999",,"9999","4","Alaska","02",,,,,"Nome Census Area",20,92,245,317,113,344,184,0,0,2,0,0,0,0,924,476,1060,354,77,44,22,0,0,12,0,0,0,0,7,5,41,5,0,7,0,11,5,54,14,0,11,0
"G0201850","1990",,,,,,,,,,"North Slope","185",,"9","9999",,"9999","4","Alaska","02",,,,,"North Slope Borough",3,48,219,246,69,212,132,0,4,6,19,0,0,0,588,331,713,280,57,42,13,14,15,27,56,14,43,8,0,0,5,9,10,0,0,12,2,7,10,14,2,5
"G0201880","1990",,,,,,,,,,"Northwest Arctic","188",,"9","9999",,"9999","4","Alaska","02",,,,,"Northwest Arctic Borough",12,17,109,122,38,179,105,0,0,2,4,0,0,2,705,293,865,259,69,43,6,0,2,6,2,0,2,2,0,0,0,0,0,0,0,0,2,5,2,0,3,3
"G0202010","1990",,,,,,,,,,"Prince Of Wales-Outer Ketchikan","201",,"9","9999",,"9999","4","Alaska","02",,,,,"Prince of Wales-Outer Ketchikan Census Area",63,433,1001,546,105,251,116,0,0,1,0,0,0,3,74,266,517,229,49,28,17,0,4,0,10,0,2,3,0,0,2,2,0,4,0,2,7,16,11,0,2,1
"G0202200","1990",,,,,,,,,,"Sitka","220",,"9","9999",,"9999","4","Alaska","02",,,,,"Sitka Borough",97,255,1156,1172,249,733,311,0,0,13,7,7,0,7,86,179,377,291,53,29,5,26,35,47,28,15,8,7,0,0,13,0,0,12,7,0,12,29,12,8,19,7
"G0202310","1990",,,,,,,,,,"Skagway-Yakutat-Angoon","231",,"9","9999",,"9999","4","Alaska","02",,,,,"Skagway-Yakutat-Angoon Census Area",34,209,615,442,117,256,114,0,0,1,0,0,0,0,124,168,342,138,24,32,12,3,3,0,2,2,4,2,7,2,2,0,0,0,0,10,2,18,6,0,0,3
"G0202400","1990",,,,,,,,,,"Southeast Fairbanks","240",,"9","9999",,"9999","4","Alaska","02",,,,,"Southeast Fairbanks Census Area",69,209,884,743,202,382,210,5,2,42,34,24,14,5,102,47,162,46,5,12,0,13,15,16,10,0,0,0,4,0,18,19,2,2,0,4,2,33,24,6,15,2
"G0202610","1990",,,,,,,,,,"Valdez-Cordova","261",,"9","9999",,"9999","4","Alaska","02",,,,,"Valdez-Cordova Census Area",125,485,1727,1467,429,778,309,0,0,8,9,0,13,0,188,144,224,100,22,10,6,23,19,41,31,16,25,16,12,17,6,25,0,7,0,14,19,26,65,12,18,4
"G0202700","1990",,,,,,,,,,"Wade Hampton","270",,"9","9999",,"9999","4","Alaska","02",,,,,"Wade Hampton Census Area",2,1,29,35,10,94,95,0,2,0,6,0,0,2,806,242,777,284,41,37,13,0,0,0,3,0,10,2,0,0,0,1,0,0,2,0,0,0,3,0,0,0
