GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E34001,E34002,E34003,E34004,E34005,E34006,E34007,E34008,E34009,E34010,E34011,E34012,E34013,E34014,E34015,E34016,E34017,E34018,E34019,E34020,E34021,E34022,E34023,E34024,E34025,E34026,E34027,E34028,E34029,E34030,E34031,E34032,E34033,E34034,E34035,E35001,E35002,E35003,E35004,E35005,E35006,E35007
"G4700210","1990",,,,,,,,,,"Cheatham","021",,"6","5360",,"9999","3","Tennessee","47",,,,,"Cheatham County",2254,3522,5852,2667,680,1257,486,108,89,87,22,6,41,14,0,11,9,0,0,0,0,2,2,3,4,0,0,2,0,7,0,0,10,0,0,9,21,34,11,10,0,0
"G4700230","1990",,,,,,,,,,"Chester","023",,"6","9999",,"9999","3","Tennessee","47",,,,,"Chester County",1743,1412,2115,811,289,384,271,129,231,189,119,25,14,8,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,9,0,0,6
"G4700250","1990",,,,,,,,,,"Claiborne","025",,"6","9999",,"9999","3","Tennessee","47",,,,,"Claiborne County",5436,2605,4866,1737,380,809,505,72,19,34,7,7,6,2,20,0,9,21,5,7,0,5,2,5,15,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,3,1
"G4700270","1990",,,,,,,,,,"Clay","027",,"6","9999",,"9999","3","Tennessee","47",,,,,"Clay County",1709,756,1564,325,66,244,103,19,17,19,8,0,8,20,0,0,2,0,0,5,0,0,0,0,0,2,0,0,6,2,0,0,0,0,0,6,2,0,0,2,0,0
"G4700290","1990",,,,,,,,,,"Cocke","029",,"6","9999",,"9999","3","Tennessee","47",,,,,"Cocke County",5838,3483,6022,1930,437,727,320,46,107,123,49,0,10,0,16,25,25,0,6,0,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,21,6,11,0,0,10,0
"G4700310","1990",,,,,,,,,,"Coffee","031",,"6","9999",,"9999","3","Tennessee","47",,,,,"Coffee County",4557,4234,7540,3868,1063,2554,1346,127,206,213,244,69,34,18,19,18,37,8,0,0,15,29,12,12,0,7,56,17,9,0,28,8,7,0,0,9,21,74,16,7,8,0
"G4700330","1990",,,,,,,,,,"Crockett","033",,"6","9999",,"9999","3","Tennessee","47",,,,,"Crockett County",1580,1543,2947,825,239,392,141,308,401,385,141,39,20,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,0,0,0,1
"G4700350","1990",,,,,,,,,,"Cumberland","035",,"6","9999",,"9999","3","Tennessee","47",,,,,"Cumberland County",5347,4010,7631,3156,746,1597,792,0,0,5,0,0,0,0,74,14,98,55,6,6,7,16,8,0,0,0,0,0,7,0,0,13,0,0,0,12,14,4,13,8,19,0
"G4700370","1990",,,,,,,,,,"Davidson","037",,"6","5360",,"9999","3","Tennessee","47",,,,,"Davidson County",20547,36696,71824,51926,13000,45215,23588,7001,15423,17226,13711,2906,7221,4034,77,216,295,251,75,42,47,512,379,732,269,276,753,828,65,157,157,154,78,51,73,242,377,516,502,163,320,268
"G4700390","1990",,,,,,,,,,"Decatur","039",,"6","9999",,"9999","3","Tennessee","47",,,,,"Decatur County",1838,1415,2347,762,164,233,101,75,34,132,23,2,1,3,2,0,0,11,0,0,0,0,0,0,0,0,1,6,2,0,0,2,0,0,0,10,0,10,8,0,0,0
"G4700410","1990",,,,,,,,,,"DeKalb","041",,"6","9999",,"9999","3","Tennessee","47",,,,,"DeKalb County",2781,1888,2911,919,125,469,334,27,20,44,3,0,0,0,10,8,0,0,0,0,0,0,4,0,2,0,0,0,10,0,2,0,0,0,0,31,0,13,0,6,0,0
"G4700430","1990",,,,,,,,,,"Dickson","043",,"6","5360",,"9999","3","Tennessee","47",,,,,"Dickson County",3903,4164,7956,2472,604,1263,710,180,251,324,152,37,25,9,27,0,2,12,0,0,6,3,0,18,6,0,8,16,2,0,11,0,0,0,0,25,40,36,14,0,16,12
"G4700450","1990",,,,,,,,,,"Dyer","045",,"6","9999",,"9999","3","Tennessee","47",,,,,"Dyer County",5031,3797,5405,3086,839,1149,831,586,613,523,383,79,125,10,10,17,0,0,0,0,1,9,15,8,9,0,0,0,0,0,0,8,0,0,0,14,0,32,8,0,19,35
"G4700470","1990",,,,,,,,,,"Fayette","047",,"6","9999",,"9999","3","Tennessee","47",,,,,"Fayette County",1307,1851,3404,1637,328,622,350,2242,1549,1583,374,67,183,84,0,0,4,19,0,0,5,0,2,9,0,2,0,0,0,6,0,2,0,0,0,24,25,11,9,0,0,0
"G4700490","1990",,,,,,,,,,"Fentress","049",,"6","9999",,"9999","3","Tennessee","47",,,,,"Fentress County",3493,1646,2724,696,156,407,211,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,3,0,13,0,0,0,0
"G4700510","1990",,,,,,,,,,"Franklin","051",,"6","9999",,"9999","3","Tennessee","47",,,,,"Franklin County",3938,3730,6701,3052,832,1730,1126,266,253,496,160,23,36,19,10,11,15,8,11,7,0,0,0,10,2,9,8,8,0,0,0,0,0,0,0,17,18,14,7,2,6,14
"G4700530","1990",,,,,,,,,,"Gibson","053",,"6","9999",,"9999","3","Tennessee","47",,,,,"Gibson County",5086,5397,8795,3636,837,1522,651,1365,1362,1475,542,104,219,83,0,7,7,0,0,0,0,6,4,12,0,0,5,8,2,26,8,14,0,8,0,33,39,46,17,0,8,7
"G4700550","1990",,,,,,,,,,"Giles","055",,"6","9999",,"9999","3","Tennessee","47",,,,,"Giles County",2727,2834,5231,1938,602,832,549,510,605,595,160,24,60,25,0,0,16,0,0,0,6,0,0,7,0,0,0,22,9,0,6,3,0,0,0,14,4,15,2,0,16,19
"G4700570","1990",,,,,,,,,,"Grainger","057",,"6","3840",,"9999","3","Tennessee","47",,,,,"Grainger County",3848,2038,3407,967,203,333,192,32,24,24,10,0,0,0,6,20,0,0,0,7,0,0,7,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,5
"G4700590","1990",,,,,,,,,,"Greene","059",,"6","9999",,"9999","3","Tennessee","47",,,,,"Greene County",8824,6553,11871,4560,1107,2555,1239,139,166,235,131,31,28,19,13,30,15,18,7,0,2,8,4,0,0,10,2,12,0,0,9,0,0,0,0,29,4,7,14,0,33,0
"G4700610","1990",,,,,,,,,,"Grundy","061",,"6","9999",,"9999","3","Tennessee","47",,,,,"Grundy County",2977,1580,2385,734,141,272,179,12,0,0,0,0,0,0,15,7,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,2,0,0,0
