"","race","1980","1990","2000","2010","2023"
"1","All",0.177084183497297,0.224381689148214,0.257535732346757,0.331421968342563,NA
"2","White,
non-Hispanic",0.266124282138124,0.366095567674458,0.469230104055573,0.604558819833631,0.719329040057657
"3","Black",0.080884554230173,0.115648537567378,0.134351245372297,0.154407067512192,0.268205024369784
"4","Hispanic,
any race",0.171588685287315,0.186867722847872,0.270673617499744,0.29653248306098,0.430671029340771
