"","race","Orleans","Jefferson","St. Tammany","Metro","U.S."
"1","Black",0.460621403912543,0.461173706877801,0.609589640388485,0.49329551000488,0.439862066888524
"2","White,
non-Hispanic",0.629613848202397,0.747195541446784,0.841072187632836,0.763752604032478,0.732993150380358
"3","Hispanic,
any race",0.429839156960621,0.53297528560375,0.733733905579399,0.55481276573946,0.506161170394699
"4","Asian",0.601844090528081,0.744418052256532,0.66212970376301,0.702589457806084,0.626875004444329
"5","All",0.525829991122416,0.636306494228897,0.797687917097245,0.651797666104978,0.653864632431305
