"","mobfinal","071-2019","071-2004","051-2019","051-2004","103-2019","103-2004","35380-2019","35380-2004","1-2019","1-2004"
"1","abroad",0.00410808200064398,0.0013,0.00155153237188175,0.0044,0.00142017169800688,0,0.00206232005796618,0,0.00448954705728385,0.006
"2","tates",0.0283192014596973,0.0206,0.0143610210204597,0.02,0.0139687787650518,0,0.0175405410604477,0,0.0239290276139338,0.0235
"3","difparish",0.0226065257056993,0.0085,0.0303553569926442,0.03,0.0399301185354949,0,0.0314774323033222,0,0.0325711051340343,0.0302
"4","withinparish",0.0801116239132768,0.1131,0.0750880915217168,0.0958,0.0633253808727669,0,0.0679956461241528,0,0.066608919590583,0.0973
"5","samehouse",0.864854566920683,0.8565,0.878643998093298,0.8498,0.88135555012868,0,0.880924060454111,0,0.872401400604165,0.843
