"","race","Orleans","Jefferson","St. Tammany","Metro","U.S."
"1","Black",0.509070389566962,0.398021570378512,0.329216654904728,0.414065240266573,0.310009540432344
"2","White,
non-Hispanic",0.0485039581376627,0.123049809314689,0.110957960027567,0.115819966739982,0.10574716856492
"3","Hispanic,
any race",0.29093799682035,0.219331217964364,0.491107286288009,0.263055230451987,0.232195937072115
"4","Asian",0.0927835051546392,0.247110621904238,NA,0.181023720349563,0.102695907657976
"5","All",0.368844696969697,0.237409397650587,0.191759686383173,0.255579939559649,0.169345853277244
