"","race","Orleans","Jefferson","Metro","U.S."
"1","Black",0.268205024369784,0.22862112146932,0.253191068639755,0.262496618962311
"2","White,
non-Hispanic",0.719329040057657,0.35337227134793,0.430387355807397,0.400460736137226
"3","Hispanic,
any race",0.430671029340771,0.19895820362761,0.246847580518048,0.207899777893074
"4","Asian",0.465827814569536,0.454641669186574,0.483661545120104,0.578178149518608
"5","All",0.447359911304107,0.300364295667064,0.345214243548845,0.361601812376615
