"","race","Orleans","Jefferson","Metro","U.S."
"1","Black",0.303873454295117,0.255499233100146,0.263756287421777,0.20791438530451
"2","White,
non-Hispanic",0.105276087531653,0.0949800180482145,0.104143017838707,0.0942978206679522
"3","Hispanic,
any race",0.208304256803908,0.232005661140315,0.2208136934734,0.166457167510824
"4","Asian",0.193042575285566,0.238562820798929,0.200787786060744,0.0990226383677438
"5","All",0.226262148508843,0.170039778883943,0.184764265149234,0.12462840744814
