"","year","POP"
"1","2000",323392
"2","2001",0
"3","2002",0
"4","2003",0
"5","2004",0
"6","2005",0
"7","2006",133015
"8","2007",159887
"9","2008",181882
"10","2009",197337
"11","2010",205747
"12","2011",216518
"13","2012",221587
"14","2013",226496
"15","2014",228964
"16","2015",231490
"17","2016",231936
"18","2017",231943
"19","2018",231360
"20","2019",230418
"21","2020",225297
"22","2021",220344
