"","race","1980","1990","2000","2010","2015","2023"
"1","White,
non-Hispanic",0.119,0.0894,0.0598,0.0435,0.0939,0.0442614169010312
"2","Black",0.483,0.5534,0.473,0.5214,0.4741,0.432201964881939
"3","Hispanic,
any race",0.3357,0.3672,0.2715,0.372,0.2089,0.334
