"","inta","071","051","35380","1"
"1","cellonlypct",0.13171833166672,0.186944829733631,0.152588439821843,0.119098461338851
"2","nosubpct",0.0267668784877907,0.0284145271322218,0.0254560393589146,0.025271007084621
"3","noaccpct",0.0800103222476694,0.0649135222351176,0.0697799087169775,0.0522800245118568
"4","broadbandpct",0.761504467597819,0.719727120899029,0.752175612102265,0.803350507064672
