GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHZ001,DHZ002,DHZ003,DHZ004,DHZ005,DHZ006,DHZ007,DHZ008
"G0100670","1980","A","3","6","Alabama","01",,"Henry","067",,,,,,,,,,,,"09",,,,,"HENRY",,,,,"1",,,,,"1",,,"1",,,,"1",,,,,,,,,"1",,0,39,0,46,0,37,0,20
"G0100690","1980","A","3","6","Alabama","01",,"Houston","069",,,,,,,,,,,,"09",,,,,"HOUSTON",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,3,98,5,56,0,96,33,99
"G0100710","1980","A","3","6","Alabama","01",,"Jackson","071",,,,,,,,,,,,"02",,,,,"JACKSON",,,,,"1",,,,,,,"1","1",,,,,,,,,,,"1",,,,0,35,7,47,0,34,0,74
"G0100730","1980","A","3","6","Alabama","01","1000","Jefferson","073",,,,,,,,,,,,"A",,,,,"JEFFERSON",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,923,94,482,6,757,72,1082
"G0100750","1980","A","3","6","Alabama","01",,"Lamar","075",,,,,,,,,,,,"05",,,,,"LAMAR",,,,"1","1",,,,,,"1","1","1",,,,"1",,,,,,,"1","1","1",,0,10,0,6,0,15,2,12
"G0100770","1980","A","3","6","Alabama","01","2650","Lauderdale","077",,,,,,,,,,,,"01",,,,,"LAUDERDALE",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,15,58,0,66,12,85
"G0100790","1980","A","3","6","Alabama","01",,"Lawrence","079",,,,,,,,,,,,"01",,,,,"LAWRENCE",,,,"1","1",,,,,"1","1",,,,,,"1","1",,,,,,,,"1",,0,43,0,15,0,17,11,39
"G0100810","1980","A","3","6","Alabama","01",,"Lee","081",,,,,,,,,,,,"04",,,,,"LEE",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,0,107,5,46,0,63,0,139
"G0100830","1980","A","3","6","Alabama","01","3440","Limestone","083",,,,,,,,,,,,"01",,,,,"LIMESTONE",,,,"1",,,,,,,,"1","1",,,,,,,,,,,,"1",,,0,20,6,31,0,21,6,60
"G0100850","1980","A","3","6","Alabama","01",,"Lowndes","085",,,,,,,,,,,,"06",,,,,"LOWNDES",,"1",,"1",,,,,,,,,,,,,,,,,,,,,,"1",,0,34,12,50,0,31,4,18
"G0100870","1980","A","3","6","Alabama","01",,"Macon","087",,,,,,,,,,,,"05",,,,,"MACON",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,2,24,0,22,8,73
"G0100890","1980","A","3","6","Alabama","01","3440","Madison","089",,,,,,,,,,,,"F",,,,,"MADISON",,,,,,,,,,,,,,,,,,,,,,,,,,,,257,364,44,142,32,282,64,272
"G0100910","1980","A","3","6","Alabama","01",,"Marengo","091",,,,,,,,,,,,"06",,,,,"MARENGO",,"1",,,"1",,,,,"1",,"1",,,,,,,,,,"1",,,"1",,,0,77,44,81,0,35,0,117
"G0100930","1980","A","3","6","Alabama","01",,"Marion","093",,,,,,,,,,,,"05",,,,,"MARION",,,,"1",,,,,,,,,,,,,"1","1",,,,,,,,"1",,0,28,15,17,0,36,2,62
"G0100950","1980","A","3","6","Alabama","01","3440","Marshall","095",,,,,,,,,,,,"02",,,,,"MARSHALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,6,61,0,79,0,111
"G0100970","1980","A","3","6","Alabama","01","5160","Mobile","097",,,,,,,,,,,,"D",,,,,"MOBILE",,,,,,,,,,,,,,,,,,,,,,,,,,,,20,805,82,398,0,505,32,875
"G0100990","1980","A","3","6","Alabama","01",,"Monroe","099",,,,,,,,,,,,"09",,,,,"MONROE",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,0,17,0,10,0,42
"G0101010","1980","A","3","6","Alabama","01","5240","Montgomery","101",,,,,,,,,,,,"C",,,,,"MONTGOMERY",,,,,,,,,,,,,,,,,,,,,,,,,,,,106,323,23,243,32,242,46,295
"G0101030","1980","A","3","6","Alabama","01",,"Morgan","103",,,,,,,,,,,,"01",,,,,"MORGAN",,,,,,,,,,,"1",,"1",,,,,"1",,,,,,,,,,0,117,16,52,0,83,0,154
"G0101050","1980","A","3","6","Alabama","01",,"Perry","105",,,,,,,,,,,,"06",,,,,"PERRY",,,,,"1",,,,"1",,,"1",,,,"1",,,"1",,,,,,,,,0,15,14,26,0,31,0,43
"G0101070","1980","A","3","6","Alabama","01",,"Pickens","107",,,,,,,,,,,,"05",,,,,"PICKENS",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,"1","1",,"1",,0,20,11,9,0,12,2,56
