"","WhoLivesYear","PlaceName","Total","TotalMOE","TotalNotHispOrLat","TotalNotHispOrLatMOE","TotalHispOrLat","TotalHispOrLatMOE","TotMex","MexicanPct","TotMexMOE","TotPR","PuertoRicanPct","TotPRMOE","TotCuba","CubanPct","TotCubaMOE","TotDomin","DominicanPct","TotDominMOE","TotCentrAm","TotCentrAmMOE","TotCostaR","TotCostaRMOE","TotGuat","GuatemalanPct","TotGuatMOE","TotHond","HonduranPct","TotHondMOE","TotNicarag","NicaraguanPct","TotNicaragMOE","TotPanama","TotPanamaMOE","TotSalva","SalvadoranPct","TotSalvaMOE","TotOtherCA","OtherCAPct","TotOtherCAMOE","TotSA","SouthAmericanPct","TotSAMOE","TotOtherHispOrLat","OtherPct","TotOtherHispOrLatMOE","Cubanpct","Dominicanpct","Mexicanpct","PuertoRicanpct","Honduranpct","Guatemalanpct","Nicaraguanpct","Salvadoranpct","OtherCApct","SouthAmericanpct","Otherpct","CubanUS","DominicanUS","MexicanUS","PuertoRicanUS","HonduranUS","GuatemalanUS","NicaraguanUS","SalvadoranUS","OtherCAUS","SouthAmericanUS","OtherUS","CubanMoeProp","DominicanMoeProp","MexicanMoeProp","PuertoRicanMoeProp","HonduranMoeProp","GuatemalanMoeProp","NicaraguanMoeProp","SalvadoranMoeProp","OtherCAMoeProp","SouthAmericanMoeProp","OtherMoeProp"
"1",2019,"Orleans",390144,0,368661,0,21483,0,5631,0.262114229856165,1292,624,0.0290462225946097,317,1414,0.0658194851743239,713,304,0.0141507238281432,295,9719,2007,164,144,617,0.0287203835590932,793,5832,0.271470465018852,2617,510,0.023739701159056,361,158,276,506,0.0235535074244752,355,1932,0.0899315738025415,1424,2436,0.113391984359726,1127,1355,0.0630731275892566,655,0.0658194851743239,0.0141507238281432,0.262114229856165,0.0290462225946097,0.271470465018852,0.0287203835590932,0.023739701159056,0.0235535074244752,0.0899315738025415,0.113391984359726,0.0630731275892566,0.0393765914099107,0.0346256868973326,0.614836102780498,0.0963713249944868,0.0179151574096422,0.0278281152796085,0.00710133268970112,0.0382193662200162,0.000966473421584093,0.0640401981781412,0.0527460467163101,0.0331890331890332,0.0137317879253363,0.0601405762696085,0.0147558534655309,0.121817250849509,0.0369129078806498,0.01680398454592,0.0165246939440488,0.066284969510776,0.0524600847181492,0.0304892240376111
"2",2019,"Jefferson",432493,0,367967,0,64526,0,8816,0.136627096054304,3012,3163,0.0490190000929858,1846,9288,0.143941976877538,3944,3487,0.0540402318445278,2338,33877,4974,162,244,2832,0.0438892849394043,1543,17481,0.270914050150327,4093,7043,0.109149800080588,2928,138,180,2409,0.0373337879304466,1785,3812,0.0590769612249326,2714,2380,0.0368843566934259,1253,3515,0.0544741654526857,1590,0.143941976877538,0.0540402318445278,0.136627096054304,0.0490190000929858,0.270914050150327,0.0438892849394043,0.109149800080588,0.0373337879304466,0.0590769612249326,0.0368843566934259,0.0544741654526857,0.0393765914099107,0.0346256868973326,0.614836102780498,0.0963713249944868,0.0179151574096422,0.0278281152796085,0.00710133268970112,0.0382193662200162,0.000966473421584093,0.0640401981781412,0.0527460467163101,0.0611226482348201,0.036233456281189,0.0466788581347054,0.0286086228806993,0.0634317949353749,0.0239128413352757,0.0453770573102315,0.0276632675200694,0.0420605647335958,0.0194185289650683,0.0246412298918266
"3",2019,"New Orleans Metro Area",1270530,0,1155766,652,114764,652,24362,0.212279111916629,4240,4911,0.0427921647903524,2133,12313,0.107289742427939,4069,3930,0.0342441880729148,2362,52758,6030,326,282,3991,0.0347757136384232,1981,28549,0.248762678191767,5583,8097,0.0705534836708375,2976,502,409,4312,0.0375727580077376,1979,6981,0.060829179882193,3461,6749,0.0588076400264891,2145,9741,0.0848785333379806,2160,0.107289742427939,0.0342441880729148,0.212279111916629,0.0427921647903524,0.248762678191767,0.0347757136384232,0.0705534836708375,0.0375727580077376,0.060829179882193,0.0588076400264891,0.0848785333379806,0.0393765914099107,0.0346256868973326,0.614836102780498,0.0963713249944868,0.0179151574096422,0.0278281152796085,0.00710133268970112,0.0382193662200162,0.000966473421584093,0.0640401981781412,0.0527460467163101,0.035450129411797,0.0205804474551803,0.0369256945577218,0.0185843776568564,0.0486271264694321,0.0172603798939102,0.0259283787123141,0.0172427622863277,0.0301555605512759,0.0186875438246111,0.0188150547853078
"4",2019,"United States",328239523,0,267757777,11342,60481746,11342,37186361,0.614836102780498,109308,5828706,0.0963713249944868,60501,2381565,0.0393765914099107,39022,2094222,0.0346256868973326,43801,5927456,83040,167234,11587,1683093,0.0278281152796085,48619,1083540,0.0179151574096422,38176,429501,0.00710133268970112,20909,194060,12862,2311574,0.0382193662200162,52774,58454,0.000966473421584093,9306,3873263,0.0640401981781412,58461,3190173,0.0527460467163101,60315,0.0393765914099107,0.0346256868973326,0.614836102780498,0.0963713249944868,0.0179151574096422,0.0278281152796085,0.00710133268970112,0.0382193662200162,0.000966473421584093,0.0640401981781412,0.0527460467163101,0.0393765914099107,0.0346256868973326,0.614836102780498,0.0963713249944868,0.0179151574096422,0.0278281152796085,0.00710133268970112,0.0382193662200162,0.000966473421584093,0.0640401981781412,0.0527460467163101,0.000645144142833123,0.000724172866290803,0.00180360751451151,0.00100015507882362,0.000631189768259856,0.000803845436138979,0.000345705047427715,0.000872531352806457,0.000153864498950805,0.000966514551769072,0.000997193980164123
