GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I9HE001,I9HE002,I9HE003,I9HE004,I9HE005,I9HE006,I9HE007,I9HE008,I9HE009,I9HE010,I9HE011,I9HE012,I9HE013,I9HE014,I9HE015,I9HE016,I9HE017,I9HE018,I9HE019,I9HE020,I9HE021,I9HE022,I9HE023,I9HE024,I9HE025,I9HE026,I9HE027,I9TE001,I9TE002,I9TE003,I9TE004,I9TE005,I9TE006,I9TE007,I9TE008,I9TE009,I9TE010,I9TE011,I9TE012,I9TE013,I9TE014,I9TE015,I9TE016,I9TE017,I9TE018,I9TE019,I9TE020,I9TE021,I9TE022,I9TE023,I9TE024,I9TE025,I9TE026,I9TE027,I9VE001,I9VE002,I9VE003,I9VE004,I9VE005,I9VE006,I9VE007,I9VE008,I9VE009,I9VE010,I9VE011,I9VE012,I9VE013,I9VE014,I9VE015,I9VE016,I9VE017,I9VE018,I9VE019,I9VE020,I9VE021,I9VE022,I9VE023,I9VE024,I9VE025,I9VE026,I9VE027,NAME_M,I9HM001,I9HM002,I9HM003,I9HM004,I9HM005,I9HM006,I9HM007,I9HM008,I9HM009,I9HM010,I9HM011,I9HM012,I9HM013,I9HM014,I9HM015,I9HM016,I9HM017,I9HM018,I9HM019,I9HM020,I9HM021,I9HM022,I9HM023,I9HM024,I9HM025,I9HM026,I9HM027,I9TM001,I9TM002,I9TM003,I9TM004,I9TM005,I9TM006,I9TM007,I9TM008,I9TM009,I9TM010,I9TM011,I9TM012,I9TM013,I9TM014,I9TM015,I9TM016,I9TM017,I9TM018,I9TM019,I9TM020,I9TM021,I9TM022,I9TM023,I9TM024,I9TM025,I9TM026,I9TM027,I9VM001,I9VM002,I9VM003,I9VM004,I9VM005,I9VM006,I9VM007,I9VM008,I9VM009,I9VM010,I9VM011,I9VM012,I9VM013,I9VM014,I9VM015,I9VM016,I9VM017,I9VM018,I9VM019,I9VM020,I9VM021,I9VM022,I9VM023,I9VM024,I9VM025,I9VM026,I9VM027
"G0100030","2010","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",13148,6638,6269,3303,0,3303,2817,486,2966,369,0,0,0,369,6510,5706,3760,0,3760,2786,974,1946,804,254,254,0,550,124072,59714,46424,37629,225,37404,33986,3418,8795,13290,2165,2098,67,11125,64358,49090,32605,0,32605,29741,2864,16485,15268,927,823,104,14341,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",343,309,368,665,273,665,568,416,787,195,273,273,273,195,149,388,939,273,939,971,516,843,385,289,289,273,328,880,701,701,1301,230,1327,1553,1003,1399,273,719,719,111,719,403,403,1579,273,1579,1784,916,1579,273,376,338,128,376,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100150","2010","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",18770,8572,7763,4805,0,4805,3511,1294,2958,809,69,69,0,740,10198,8849,5741,0,5741,3564,2177,3108,1349,183,183,0,1166,71967,34600,28573,19769,87,19682,17703,1979,8804,6027,480,480,0,5547,37367,28851,16423,0,16423,14125,2298,12428,8516,523,523,0,7993,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",465,391,391,991,273,991,958,558,1032,273,72,72,273,72,275,230,1001,273,1001,1050,777,976,169,161,161,273,243,280,140,140,1378,149,1359,1350,713,1398,273,236,236,273,236,245,245,1205,273,1205,1433,689,1182,273,274,274,273,274,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100430","2010","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,59690,28998,23625,15591,15,15576,13055,2521,8034,5373,1266,1205,61,4107,30692,23548,15445,0,15445,13662,1783,8103,7144,459,459,0,6685,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,468,285,285,1532,27,1531,1531,823,1544,273,525,533,105,525,356,356,1316,273,1316,1350,824,1343,273,306,306,273,306,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100490","2010","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,46692,22478,18371,14066,0,14066,11813,2253,4305,4107,836,731,105,3271,24214,18830,10792,0,10792,9846,946,8038,5384,644,461,183,4740,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,369,382,382,1032,273,1032,1160,825,1165,273,376,351,116,376,192,192,1080,273,1080,1166,407,1055,273,333,268,220,333,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2010","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",12278,6083,5903,2174,107,2067,1589,478,3729,180,0,0,0,180,6195,5531,3258,62,3196,2904,292,2273,664,142,142,0,522,47740,22649,18831,15047,153,14894,14348,546,3784,3818,803,786,17,3015,25091,20582,13456,0,13456,12472,984,7126,4509,460,460,0,4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",573,339,366,954,212,831,786,277,1023,135,273,273,273,135,557,557,1402,118,1372,1197,304,1387,273,202,202,273,202,395,372,372,670,141,687,763,256,769,273,332,327,29,332,192,192,1635,273,1635,1555,502,1666,273,288,288,273,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","2010","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",12740,6253,5683,3081,0,3081,2255,826,2602,570,113,113,0,457,6487,5547,2935,0,2935,1944,991,2612,940,38,38,0,902,67402,32197,25966,19387,47,19340,17544,1796,6579,6231,1047,986,61,5184,35205,26675,15123,0,15123,13359,1764,11552,8530,1089,1089,0,7441,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",348,228,228,629,273,629,658,530,676,273,122,122,273,122,403,350,601,273,601,603,427,550,130,69,69,273,140,473,346,346,1090,78,1088,1211,817,1025,273,439,427,100,439,350,350,1609,273,1609,1463,674,1728,273,442,442,273,442,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100690","2010","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",19442,8541,7600,4737,0,4737,4213,524,2863,941,195,195,0,746,10901,9523,6329,0,6329,5478,851,3194,1378,115,101,14,1263,56899,27277,22106,17623,433,17190,16147,1043,4483,5171,1066,962,104,4105,29622,22706,16039,65,15974,15204,770,6667,6916,858,845,13,6058,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",264,240,240,554,273,554,527,259,535,273,116,116,273,116,118,113,528,273,528,570,297,559,47,76,73,22,88,215,122,122,585,260,608,634,333,593,273,251,238,103,251,177,177,684,84,695,747,295,697,273,274,274,23,274,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100730","2010","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",211595,93139,83559,56513,470,56043,45502,10541,27046,9580,713,589,124,8867,118456,102123,71126,44,71082,59134,11948,30997,16333,1842,1781,61,14491,282463,134282,110264,88938,104,88834,82202,6632,21326,24018,5421,5096,325,18597,148181,113080,78174,214,77960,71526,6434,34906,35101,3912,3585,327,31189,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",1092,648,647,2194,412,2181,2518,1709,2365,76,306,281,139,333,838,838,2888,71,2893,3142,1690,3054,273,473,470,79,473,821,518,518,2158,119,2134,2482,1410,2246,273,830,797,223,830,559,559,2821,267,2831,2719,1202,2893,273,687,641,260,687,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100770","2010","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,64886,30529,24395,19418,0,19418,17826,1592,4977,6134,1129,1077,52,5005,34357,26111,16697,0,16697,15276,1421,9414,8246,927,927,0,7319,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,302,354,354,992,273,992,1103,621,1069,273,444,431,84,444,302,302,1192,273,1192,1250,772,1343,273,483,483,273,483,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100810","2010","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",24875,11301,10366,8383,302,8081,6379,1702,1983,935,84,84,0,851,13574,12040,8566,0,8566,7380,1186,3474,1534,77,77,0,1457,80494,39802,35292,26287,516,25771,23412,2359,9005,4510,1107,1051,56,3403,40692,35136,22804,48,22756,20682,2074,12332,5556,524,462,62,5032,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",493,353,353,812,272,817,1077,835,753,273,113,113,273,113,356,356,752,273,752,797,451,699,273,82,82,273,82,456,360,360,1214,323,1284,1323,765,1259,273,379,384,95,379,336,336,1278,74,1271,1317,753,1294,273,279,261,103,279,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100830","2010","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",8359,4456,4254,1976,127,1849,1588,261,2278,202,0,0,0,202,3903,3283,2482,0,2482,1888,594,801,620,211,150,61,409,52372,25928,21818,16710,175,16535,14694,1841,5108,4110,506,506,0,3604,26444,21370,13962,0,13962,12344,1618,7408,5074,466,466,0,4608,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",266,216,259,555,188,548,522,277,612,165,273,273,273,165,152,305,545,273,545,649,479,460,255,181,163,101,237,372,286,286,969,172,991,1086,534,1047,273,316,316,273,316,267,267,1228,273,1228,1300,579,1274,273,288,288,273,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100890","2010","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",62486,28589,26247,20400,390,20010,15314,4696,5847,2342,718,718,0,1624,33897,30664,24575,29,24546,20541,4005,6089,3233,704,649,55,2529,180223,88605,73873,60537,1490,59047,54204,4843,13336,14732,3192,2917,275,11540,91618,72391,48813,138,48675,44043,4632,23578,19227,2647,2495,152,16580,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",978,547,547,1230,248,1267,1651,1069,1324,273,251,251,273,251,717,688,1252,53,1243,1505,1177,1109,164,411,414,90,390,689,484,484,1541,507,1556,1715,941,1617,273,695,709,228,695,464,464,2167,93,2172,2179,1278,2196,273,647,624,178,647,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100950","2010","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,62695,29873,24114,18651,214,18437,16981,1456,5463,5759,1407,1239,168,4352,32822,25120,15665,0,15665,14196,1469,9455,7702,539,539,0,7163,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,487,346,346,1173,342,1217,1285,567,1237,273,569,558,196,569,323,323,1581,273,1581,1510,766,1550,273,333,333,273,333,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100970","2010","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",106599,46996,41698,28510,0,28510,22769,5741,13188,5298,567,516,51,4731,59603,51100,33523,0,33523,28239,5284,17577,8503,777,777,0,7726,198579,95485,79191,61657,437,61220,53899,7321,17534,16294,4007,3761,246,12287,103094,81138,53449,57,53392,47961,5431,27689,21956,2417,2369,48,19539,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",970,633,618,1632,273,1632,1643,1241,1554,57,264,251,87,250,546,537,1563,273,1563,1855,1035,1562,58,336,336,273,334,752,676,676,2001,317,1956,2466,1859,2132,273,841,819,208,841,309,309,2367,98,2361,2501,1412,2353,273,787,786,77,787,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101010","2010","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",94015,41742,37918,24131,135,23996,20814,3182,13787,3824,403,359,44,3421,52273,45919,32034,62,31972,28334,3638,13885,6354,599,599,0,5755,74420,35519,28438,23831,1230,22601,21249,1352,4607,7081,1884,1643,241,5197,38901,28953,19486,290,19196,18447,749,9467,9948,1438,1438,0,8510,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",1339,810,808,2222,115,2205,2108,969,2339,110,252,241,74,252,810,795,1971,74,1978,1915,1046,1956,233,344,344,273,393,338,326,326,1111,595,1289,1458,617,1126,273,478,456,202,478,58,58,1256,185,1273,1273,398,1264,273,415,415,273,415,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101030","2010","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",10716,5330,5019,3417,0,3417,2628,789,1602,311,83,83,0,228,5386,5075,3897,0,3897,3367,530,1178,311,0,0,0,311,75274,36394,29652,23918,0,23918,21392,2526,5734,6742,1311,1177,134,5431,38880,30161,20771,0,20771,19053,1718,9390,8719,903,830,73,7816,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",372,241,302,703,273,703,721,379,695,244,130,130,273,197,242,336,603,273,603,701,306,537,242,273,273,273,242,379,305,305,1238,273,1238,1511,917,1240,273,514,510,164,514,277,277,1128,273,1128,1331,753,1065,273,425,420,124,425,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101150","2010","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,57391,27851,23396,18517,295,18222,17080,1142,4879,4455,974,748,226,3481,29540,23668,14075,0,14075,12834,1241,9593,5872,842,739,103,5030,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,1220,918,849,1184,401,1182,1193,523,977,666,514,388,326,640,1030,834,1531,273,1531,1589,549,1652,691,406,366,130,825,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101170","2010","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",15711,7107,6710,4973,0,4973,4428,545,1737,397,23,23,0,374,8604,8183,6320,0,6320,5022,1298,1863,421,0,0,0,421,123141,59245,50715,43842,104,43738,40809,2929,6873,8530,2908,2684,224,5622,63896,53390,37694,0,37694,35058,2636,15696,10506,1009,919,90,9497,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",508,520,538,647,273,647,621,458,597,245,40,40,273,243,198,313,608,273,608,701,487,668,258,273,273,273,258,628,505,494,1160,120,1159,1399,950,1290,106,583,568,219,609,431,431,1641,273,1641,2036,867,1627,273,415,392,148,415,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101210","2010","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",20485,9400,8435,5440,0,5440,3836,1604,2995,965,100,100,0,865,11085,9630,5639,0,5639,3629,2010,3991,1455,190,190,0,1265,42896,20696,16743,11861,0,11861,10029,1832,4882,3953,296,296,0,3657,22200,17054,10672,0,10672,9353,1319,6382,5146,571,492,79,4575,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",480,294,294,921,273,921,859,438,968,273,125,125,273,125,388,388,931,273,931,947,887,958,273,160,160,273,160,303,231,231,1247,273,1247,1113,781,1239,273,275,275,273,275,192,192,1265,273,1265,1167,626,1300,273,333,316,123,333,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101250","2010","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",44171,19030,17355,10377,0,10377,8887,1490,6978,1675,485,379,106,1190,25141,22346,14887,0,14887,12790,2097,7459,2795,306,306,0,2489,106225,52132,45257,33961,15,33946,31483,2463,11296,6875,1151,1151,0,5724,54093,44726,27174,0,27174,25635,1539,17552,9367,566,492,74,8801,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",670,486,486,1138,273,1138,848,722,1151,273,423,412,126,423,442,442,1275,273,1275,1345,1110,1231,273,239,239,273,239,692,497,484,1990,25,1993,1969,1095,1985,86,378,378,273,377,357,344,1943,273,1943,2027,755,2008,91,222,215,89,234,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101270","2010","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,49022,23344,18921,12104,0,12104,9376,2728,6817,4423,629,546,83,3794,25678,19748,11445,0,11445,9564,1881,8303,5930,481,453,28,5449,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,339,309,309,1106,273,1106,1135,864,1206,273,310,304,136,310,149,149,1057,273,1057,1227,813,1022,273,272,270,45,272,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200200","2010","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",12583,6716,6383,5220,786,4434,3812,622,1163,333,141,141,0,192,5867,5331,4736,431,4305,4135,170,595,536,104,104,0,432,150115,77928,70447,61857,7552,54305,49475,4830,8590,7481,2700,2536,164,4781,72187,64030,47854,610,47244,44484,2760,16176,8157,2056,2056,0,6101,14787,7375,7137,5909,954,4955,4471,484,1228,238,32,32,0,206,7412,6841,4814,0,4814,4413,401,2027,571,210,210,0,361,"Anchorage Municipality, Alaska",468,471,482,566,389,604,686,420,462,255,174,174,246,182,241,411,438,361,521,562,216,337,337,133,133,246,330,791,676,676,1315,1738,2314,2444,1175,1403,246,585,588,157,585,444,444,2016,311,1996,2197,909,2075,246,821,821,246,821,264,261,321,598,524,803,815,508,583,196,57,57,246,205,258,351,516,246,516,504,286,598,229,249,249,246,202
"G0200900","2010","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,57680,31246,28431,23435,3606,19829,18178,1651,4996,2815,921,765,156,1894,26434,23810,16210,119,16091,15110,981,7600,2624,612,612,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,671,407,407,1103,1538,1499,1544,702,1140,246,450,432,230,450,442,442,1355,140,1355,1336,567,1402,246,314,314,246,314,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0201700","2010","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,56984,29664,26335,20963,313,20650,18561,2089,5372,3329,422,370,52,2907,27320,24124,17036,75,16961,15576,1385,7088,3196,430,430,0,2766,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,311,302,302,1048,218,1058,1244,636,1076,246,197,190,71,197,289,289,976,124,990,964,451,962,246,243,243,246,243,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0400010","2010","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,11676,6041,4621,3853,0,3853,3534,319,768,1420,125,125,0,1295,5635,4377,2875,0,2875,2297,578,1502,1258,94,94,0,1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,135,166,166,356,305,356,435,283,406,305,159,159,305,159,112,112,545,305,545,553,446,517,305,142,142,305,142,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0400030","2010","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,66211,34116,25455,18875,3067,15808,14121,1687,6580,8661,425,269,156,8236,32095,23202,14497,73,14424,13700,724,8705,8893,846,752,94,8047,30139,14727,12894,8417,510,7907,6396,1511,4477,1833,176,176,0,1657,15412,13030,8604,0,8604,7498,1106,4426,2382,164,164,0,2218,"Cochise County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,358,244,244,1223,1694,1714,1881,745,1237,305,279,214,188,279,214,214,1170,125,1213,1196,422,1174,305,365,335,116,365,298,335,335,1030,427,1125,1011,590,1135,0,141,141,305,141,521,521,728,305,728,996,616,890,0,142,142,305,142
"G0400050","2010","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,63628,31593,27632,20176,0,20176,18650,1526,7456,3961,1037,1037,0,2924,32035,27851,19814,0,19814,18014,1800,8037,4184,480,480,0,3704,12627,6191,5784,5082,0,5082,4158,924,702,407,57,57,0,350,6436,5801,4630,0,4630,4274,356,1171,635,344,226,118,291,"Coconino County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,578,369,369,1717,305,1717,1671,615,1716,305,452,452,305,452,524,524,1572,305,1572,1414,866,1685,305,251,251,305,251,259,208,374,365,305,365,617,652,406,254,96,96,305,252,283,315,418,305,418,528,350,377,240,247,251,179,198
"G0400130","2010","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",142710,71183,65740,44840,564,44276,35127,9149,20900,5443,823,602,221,4620,71527,64694,44465,0,44465,37869,6596,20229,6833,917,806,111,5916,1860669,907178,731566,603236,2925,600311,541220,59091,128330,175612,32652,29265,3387,142960,953491,735193,522837,545,522292,476909,45383,212356,218298,25895,23663,2232,192403,743530,372180,353136,274960,896,274064,233971,40093,78176,19044,3671,3273,398,15373,371350,346669,210931,352,210579,181666,28913,135738,24681,2735,2524,211,21946,"Maricopa County, Arizona",2491,1691,1708,2244,439,2296,2139,1476,2430,169,401,317,220,402,1736,1746,2464,305,2464,2435,1518,2408,162,364,312,132,438,2449,1812,1799,6672,1177,6676,6932,4355,6988,133,2457,2291,812,2442,1702,1724,5877,421,5857,6409,3723,6360,157,2105,2009,639,2087,2178,1727,1728,4994,536,5001,5983,3965,5179,0,867,880,349,867,1541,1541,5191,407,5220,5966,2938,5194,0,727,734,180,727
"G0400150","2010","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,135490,67531,46175,32213,80,32133,26480,5653,13962,21356,3155,2564,591,18201,67959,46459,29931,0,29931,26295,3636,16528,21500,2143,1855,288,19357,20280,10264,9061,6764,0,6764,5973,791,2297,1203,0,0,0,1203,10016,8717,5922,0,5922,4658,1264,2795,1299,428,428,0,871,"Mohave County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,565,467,467,1802,132,1796,2001,1391,1792,305,854,804,366,854,385,385,1735,305,1735,1680,1138,1807,305,582,551,221,582,336,363,363,982,305,982,1055,516,866,0,305,305,305,305,462,462,662,305,662,835,638,770,0,293,293,305,293
"G0400170","2010","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,37481,18795,14158,10636,81,10555,9846,709,3522,4637,633,633,0,4004,18686,14083,8934,0,8934,8266,668,5149,4603,566,447,119,4037,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Navajo County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,324,303,303,886,103,882,850,477,915,305,426,426,305,426,353,353,734,305,734,776,449,783,305,360,319,154,360,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0400190","2010","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",25897,14127,12758,8346,192,8154,6979,1175,4412,1369,115,115,0,1254,11770,10212,6845,62,6783,6201,582,3367,1558,156,156,0,1402,469505,228861,174122,132955,2789,130166,116119,14047,41167,54739,9969,9194,775,44770,240644,174699,117752,389,117363,106112,11251,56947,65945,6857,6360,497,59088,238917,114825,104965,77674,857,76817,64392,12425,27291,9860,2032,1786,246,7828,124092,110487,75108,231,74877,66158,8719,35379,13605,2510,2510,0,11095,"Pima County, Arizona",1211,847,847,825,174,831,768,549,1177,305,145,145,305,145,783,783,1082,111,1088,1029,389,977,305,166,166,305,166,1326,928,920,3359,1031,3453,3721,2298,3442,165,1309,1300,336,1326,897,848,3597,266,3611,3506,1837,3680,178,1198,1192,276,1182,907,691,690,2553,601,2546,2783,1965,2687,0,693,637,243,693,673,673,2893,251,2852,2853,1604,3087,0,1882,1882,305,1883
"G0400210","2010","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",12719,7548,7304,3804,0,3804,2824,980,3500,244,0,0,0,244,5171,4827,2860,0,2860,2554,306,1967,344,0,0,0,344,182541,92599,70391,52623,113,52510,46007,6503,17768,22208,2596,2340,256,19612,89942,67117,44069,0,44069,38784,5285,23048,22825,2160,1996,164,20665,72938,40279,37635,18611,54,18557,14385,4172,19024,2644,417,417,0,2227,32659,29695,18017,24,17993,15133,2860,11678,2964,97,97,0,2867,"Pinal County, Arizona",1096,907,925,1056,305,1056,1056,789,709,202,305,305,305,202,744,765,712,305,712,680,299,1001,299,305,305,305,299,795,666,666,2313,198,2298,2381,1629,2460,305,819,778,254,819,500,500,2016,305,2016,2251,1547,2083,305,704,682,128,704,834,675,675,2433,89,2441,2371,1310,2486,0,499,499,305,500,589,590,2048,40,2051,1871,1124,1996,0,165,165,305,165
"G0400250","2010","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,149385,72481,49928,33224,154,33070,29748,3322,16704,22553,2951,2533,418,19602,76904,51868,31820,61,31759,29346,2413,20048,25036,3615,3339,276,21421,19053,9440,8407,6810,0,6810,5819,991,1597,1033,55,0,55,978,9613,8469,5763,0,5763,4900,863,2706,1144,114,114,0,1030,"Yavapai County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,666,349,349,2796,255,2789,2668,973,2876,305,886,846,350,886,567,567,2777,110,2772,2706,814,2814,305,878,861,224,878,469,241,241,739,305,739,1019,793,787,0,94,305,94,94,486,486,1009,305,1009,1033,573,997,0,189,189,305,189
