GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I9HE001,I9HE002,I9HE003,I9HE004,I9HE005,I9HE006,I9HE007,I9HE008,I9HE009,I9HE010,I9HE011,I9HE012,I9HE013,I9HE014,I9HE015,I9HE016,I9HE017,I9HE018,I9HE019,I9HE020,I9HE021,I9HE022,I9HE023,I9HE024,I9HE025,I9HE026,I9HE027,I9TE001,I9TE002,I9TE003,I9TE004,I9TE005,I9TE006,I9TE007,I9TE008,I9TE009,I9TE010,I9TE011,I9TE012,I9TE013,I9TE014,I9TE015,I9TE016,I9TE017,I9TE018,I9TE019,I9TE020,I9TE021,I9TE022,I9TE023,I9TE024,I9TE025,I9TE026,I9TE027,I9VE001,I9VE002,I9VE003,I9VE004,I9VE005,I9VE006,I9VE007,I9VE008,I9VE009,I9VE010,I9VE011,I9VE012,I9VE013,I9VE014,I9VE015,I9VE016,I9VE017,I9VE018,I9VE019,I9VE020,I9VE021,I9VE022,I9VE023,I9VE024,I9VE025,I9VE026,I9VE027,NAME_M,I9HM001,I9HM002,I9HM003,I9HM004,I9HM005,I9HM006,I9HM007,I9HM008,I9HM009,I9HM010,I9HM011,I9HM012,I9HM013,I9HM014,I9HM015,I9HM016,I9HM017,I9HM018,I9HM019,I9HM020,I9HM021,I9HM022,I9HM023,I9HM024,I9HM025,I9HM026,I9HM027,I9TM001,I9TM002,I9TM003,I9TM004,I9TM005,I9TM006,I9TM007,I9TM008,I9TM009,I9TM010,I9TM011,I9TM012,I9TM013,I9TM014,I9TM015,I9TM016,I9TM017,I9TM018,I9TM019,I9TM020,I9TM021,I9TM022,I9TM023,I9TM024,I9TM025,I9TM026,I9TM027,I9VM001,I9VM002,I9VM003,I9VM004,I9VM005,I9VM006,I9VM007,I9VM008,I9VM009,I9VM010,I9VM011,I9VM012,I9VM013,I9VM014,I9VM015,I9VM016,I9VM017,I9VM018,I9VM019,I9VM020,I9VM021,I9VM022,I9VM023,I9VM024,I9VM025,I9VM026,I9VM027
"G3800350","2010","ND",,,"North Dakota","38","Grand Forks County","035",,,,,,,,,,,,,,,,,,"05000US38035","Grand Forks County, North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,49901,25371,22524,18841,583,18258,17590,668,3683,2847,731,620,111,2116,24530,20622,16425,35,16390,15391,999,4197,3908,433,433,0,3475,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grand Forks County, North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,260,220,220,889,267,923,930,320,904,211,287,267,140,287,154,154,789,55,779,886,512,789,211,176,176,211,176,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3900030","2010","OH",,,"Ohio","39","Allen County","003",,,,,,,,,,,,,,,,,,"05000US39003","Allen County, Ohio",9789,5072,4348,2321,0,2321,1426,895,2027,724,124,124,0,600,4717,4180,2949,0,2949,2384,565,1231,537,0,0,0,537,70673,35204,29203,22850,0,22850,20382,2468,6353,6001,1699,1625,74,4302,35469,27164,18665,0,18665,16482,2183,8499,8305,845,845,0,7460,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allen County, Ohio",531,464,488,715,269,715,609,613,701,191,182,182,269,249,321,479,427,269,427,397,306,577,326,269,269,269,326,597,385,385,946,269,946,1048,624,981,269,480,488,132,480,364,364,973,269,973,1006,654,1051,269,404,404,269,404,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3900070","2010","OH",,,"Ohio","39","Ashtabula County","007",,,,,,,,,,,,,,,,,,"05000US39007","Ashtabula County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,74064,35946,29256,23267,40,23227,20443,2784,5989,6690,895,895,0,5795,38118,29567,20750,0,20750,18196,2554,8817,8551,1032,1032,0,7519,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashtabula County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,471,396,396,1213,70,1223,1334,827,1165,269,358,358,269,358,234,234,1260,269,1260,1302,750,1270,269,396,396,269,396,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3900130","2010","OH",,,"Ohio","39","Belmont County","013",,,,,,,,,,,,,,,,,,"05000US39013","Belmont County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,54501,26413,21441,15961,132,15829,14420,1409,5480,4972,911,911,0,4061,28088,20947,13531,0,13531,12561,970,7416,7141,627,552,75,6514,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Belmont County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,355,249,249,973,201,959,1021,430,1005,269,411,411,269,411,207,207,1210,269,1210,1208,481,1217,269,264,257,115,264,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3900170","2010","OH",,,"Ohio","39","Butler County","017",,,,,,,,,,,,,,,,,,"05000US39017","Butler County, Ohio",19274,9490,8937,6730,0,6730,4771,1959,2207,553,0,0,0,553,9784,8772,6919,0,6919,5657,1262,1853,1012,57,57,0,955,246334,118931,101854,81843,0,81843,71757,10086,20011,17077,3482,3204,278,13595,127403,104753,74801,0,74801,69727,5074,29952,22650,3210,3105,105,19440,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Ohio",982,523,624,1028,269,1028,1168,898,797,381,269,269,269,381,734,727,889,269,889,1029,801,603,128,94,94,269,151,1018,732,732,2065,269,2065,2847,2281,2060,269,744,718,216,744,652,652,2603,269,2603,2613,1206,2543,269,654,655,124,654,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3900230","2010","OH",,,"Ohio","39","Clark County","023",,,,,,,,,,,,,,,,,,"05000US39023","Clark County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,95195,45157,36404,26526,189,26337,23262,3075,9878,8753,1976,1855,121,6777,50038,38312,27192,50,27142,23890,3252,11120,11726,1447,1340,107,10279,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,589,474,474,1609,221,1572,1688,913,1492,269,503,499,143,503,369,369,1423,81,1432,1449,941,1462,269,493,448,135,493,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3900250","2010","OH",,,"Ohio","39","Clermont County","025",,,,,,,,,,,,,,,,,,"05000US39025","Clermont County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,146071,71091,61094,48756,140,48616,44214,4402,12338,9997,2402,2287,115,7595,74980,62197,46150,0,46150,41814,4336,16047,12783,1260,1145,115,11523,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clermont County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,693,391,391,1534,165,1542,1907,1084,1527,269,610,604,137,610,451,451,1544,269,1544,1636,945,1619,269,436,405,140,436,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3900290","2010","OH",,,"Ohio","39","Columbiana County","029",,,,,,,,,,,,,,,,,,"05000US39029","Columbiana County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,82819,40488,32940,24694,60,24634,20774,3860,8246,7548,1286,1120,166,6262,42331,32390,21447,0,21447,19690,1757,10943,9941,982,936,46,8959,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbiana County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,627,430,430,1419,103,1424,1414,1008,1449,269,492,471,159,492,451,451,1462,269,1462,1526,631,1367,269,356,348,78,356,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3900350","2010","OH",,,"Ohio","39","Cuyahoga County","035",,,,,,,,,,,,,,,,,,"05000US39035","Cuyahoga County, Ohio",288858,126002,108787,73681,0,73681,52993,20688,35106,17215,2548,2438,110,14667,162856,135156,95023,0,95023,78745,16278,40133,27700,3637,3041,596,24063,658774,314026,254696,212047,113,211934,189445,22489,42649,59330,12196,11248,948,47134,344748,257420,194646,0,194646,178490,16156,62774,87328,11185,10299,886,76143,41368,19979,18609,14477,49,14428,11539,2889,4132,1370,272,272,0,1098,21389,19507,12921,0,12921,10916,2005,6586,1882,215,155,60,1667,"Cuyahoga County, Ohio",2038,1463,1397,2926,269,2926,3091,2050,2765,167,711,693,129,718,1226,1255,2732,269,2732,3021,2264,2750,120,846,705,480,859,1074,788,788,2678,135,2664,3465,2088,2632,269,1246,1194,329,1246,832,827,3011,269,3011,3530,2258,3077,110,908,950,424,919,490,425,425,982,81,998,1435,977,1100,0,300,300,269,300,252,252,1006,269,1006,1014,751,1065,0,211,183,105,211
"G3900410","2010","OH",,,"Ohio","39","Delaware County","041",,,,,,,,,,,,,,,,,,"05000US39041","Delaware County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,116581,56696,49713,42495,35,42460,39105,3355,7218,6983,1931,1802,129,5052,59885,51121,37164,0,37164,35076,2088,13957,8764,1298,1248,50,7466,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,444,398,398,1812,59,1809,1973,984,1778,269,551,557,150,551,275,275,1479,269,1479,1610,653,1478,269,473,478,84,473,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3900430","2010","OH",,,"Ohio","39","Erie County","043",,,,,,,,,,,,,,,,,,"05000US39043","Erie County, Ohio",4432,2166,1715,977,0,977,501,476,738,451,0,0,0,451,2266,1899,1389,0,1389,910,479,510,367,100,100,0,267,54275,26216,20576,16311,0,16311,14378,1933,4265,5640,1591,1403,188,4049,28059,21334,16813,0,16813,15487,1326,4521,6725,916,862,54,5809,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erie County, Ohio",724,545,513,548,269,548,416,439,569,398,269,269,269,398,508,518,488,269,488,533,429,383,245,149,149,269,256,282,269,269,985,269,985,1094,506,943,269,436,426,232,436,324,324,928,269,928,1061,600,902,269,348,358,89,348,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3900450","2010","OH",,,"Ohio","39","Fairfield County","045",,,,,,,,,,,,,,,,,,"05000US39045","Fairfield County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,102407,50065,42372,35410,305,35105,31197,3908,6962,7693,1465,1356,109,6228,52342,42493,30576,62,30514,28571,1943,11917,9849,1813,1721,92,8036,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairfield County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,477,378,378,1086,380,1093,1209,804,954,269,440,397,134,440,281,281,1493,107,1480,1584,632,1484,269,493,565,158,493,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3900490","2010","OH",,,"Ohio","39","Franklin County","049",,,,,,,,,,,,,,,,,,"05000US39049","Franklin County, Ohio",180386,82087,74629,55779,0,55779,41193,14586,18850,7458,1362,1362,0,6096,98299,87063,64627,65,64562,54331,10231,22436,11236,1648,1519,129,9588,647191,313650,275382,229629,230,229399,203937,25462,45753,38268,8841,8421,420,29427,333541,278516,213965,81,213884,198479,15405,64551,55025,7738,7426,312,47287,36870,20118,19567,17042,60,16982,15175,1807,2525,551,63,63,0,488,16752,15986,10681,0,10681,9785,896,5305,766,209,209,0,557,"Franklin County, Ohio",2881,1866,1864,2859,269,2859,2828,2069,2222,150,511,511,269,497,1581,1475,2438,107,2450,2823,1664,2240,426,473,447,155,628,1211,877,877,3763,167,3729,4028,2777,3563,269,903,911,276,903,810,810,3980,133,3963,4259,2032,4173,269,1048,1016,258,1048,399,323,432,898,100,907,955,811,853,339,101,101,269,317,198,428,1071,269,1071,1091,576,1074,372,238,238,269,349
"G3900550","2010","OH",,,"Ohio","39","Geauga County","055",,,,,,,,,,,,,,,,,,"05000US39055","Geauga County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,69994,33957,27682,23571,0,23571,21737,1834,4111,6275,1398,1249,149,4877,36037,28153,19810,0,19810,18500,1310,8343,7884,1274,1222,52,6610,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geauga County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,395,275,275,1084,269,1084,1160,518,1101,269,477,474,163,477,274,274,1160,269,1160,1198,540,1187,269,396,391,79,396,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3900570","2010","OH",,,"Ohio","39","Greene County","057",,,,,,,,,,,,,,,,,,"05000US39057","Greene County, Ohio",10011,5025,4650,2708,429,2279,1893,386,1942,375,41,41,0,334,4986,4360,2613,0,2613,2300,313,1747,626,123,123,0,503,112962,54887,45925,34493,2663,31830,29113,2717,11432,8962,2345,2055,290,6617,58075,46681,32445,1156,31289,28686,2603,14236,11394,1372,1217,155,10022,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Ohio",676,543,555,755,684,755,581,358,930,178,67,67,269,177,408,456,938,269,938,980,298,898,217,144,144,269,226,565,421,421,1658,2624,2230,1943,795,1658,269,579,600,217,579,347,347,1369,1374,1649,1666,670,1387,269,478,449,188,478,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3900610","2010","OH",,,"Ohio","39","Hamilton County","061",,,,,,,,,,,,,,,,,,"05000US39061","Hamilton County, Ohio",153039,67752,60250,41195,124,41071,32072,8999,19055,7502,1748,1641,107,5754,85287,72967,50583,0,50583,40687,9896,22384,12320,1706,1603,103,10614,445640,214159,179362,146081,133,145948,132432,13516,33281,34797,6902,6359,543,27895,231481,181485,133514,44,133470,125170,8300,47971,49996,6614,5954,660,43382,13904,7446,7157,6231,0,6231,5673,558,926,289,56,56,0,233,6458,5800,3359,0,3359,2606,753,2441,658,0,0,0,658,"Hamilton County, Ohio",1574,1161,1156,2451,209,2447,2387,1884,2610,62,588,568,128,587,1067,1081,2404,269,2404,2432,2040,2107,102,569,583,123,574,1044,694,694,3409,157,3441,3581,1636,3513,269,985,955,256,985,783,776,2090,74,2085,2186,1383,2160,122,1011,942,313,1024,160,278,274,436,269,436,559,426,467,221,86,86,269,216,287,286,684,269,684,574,457,663,260,269,269,269,260
"G3900630","2010","OH",,,"Ohio","39","Hancock County","063",,,,,,,,,,,,,,,,,,"05000US39063","Hancock County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,55017,26087,21638,18485,0,18485,17163,1322,3153,4449,951,866,85,3498,28930,22985,17009,0,17009,15291,1718,5976,5945,299,299,0,5646,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hancock County, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,273,250,250,761,269,761,915,587,791,269,375,329,142,375,137,137,963,269,963,1130,618,969,269,199,199,269,199,,,,,,,,,,,,,,,,,,,,,,,,,,,
