"","commutefinal","Orleans-2019","Orleans-2000","Jefferson-2019","Jefferson-2000","St. Tammany-2019","St. Tammany-2000","New Orleans Metro Area-2019","New Orleans Metro Area-2000","United States-2019","United States-2000"
"1","DroveAlone",0.67178637674633,0.6028,0.788541803756416,0.7855,0.820580816806026,0.8021,0.769224489931913,0.7301,0.759222168261511,0.757
"2","Carpool",0.099011440273623,0.1614,0.135841057361485,0.1372,0.0702266602169857,0.1366,0.102006953618664,0.1465,0.0885743582191528,0.1219
"3","PublicTransit",0.0505269816762628,0.1322,0.0133768260354585,0.022,0.00348973809688342,0.0023,0.022073657713369,0.053,0.0495627455622816,0.0457
"4","Bike",0.0263115571423976,0.0116,0.0019223899678505,0.0032,0,0.0025,0.0091076744693576,0.0059,0.00513390524890745,0.0038
"5","Walk",0.061811787663375,0.0521,0.020149843012653,0.0174,0.00418077534379103,0.0082,0.0287823837218019,0.0272,0.0264624339337576,0.0293
"6","Workhome",0.0679768835708235,0.0266,0.0311013555434394,0.0204,0.0855417732015756,0.0368,0.0540779624931072,0.0241,0.0571602081200451,0.0326
"7","Other",0.0168762799275199,0.0133,0.00798567372953054,0.0143,0.012689171446341,0.0115,0.0110901388224828,0.0133,0.0100121672207399,0.0097
