"","inta","Orleans","Jefferson","St. Tammany","New Orleans Metro Area","United States"
"1","cellonlypct",0.139891797855726,0.149060125239111,0.0787573167136902,0.129124791094387,0.118398626442324
"2","nosubpct",0.0305364638590341,0.0147565861004355,0.0230660715037689,0.0212089427057682,0.0246964052593827
"3","noaccpct",0.18136050028665,0.135797803373432,0.0897481787173117,0.142142366985598,0.109161976140424
"4","broadbandpct",0.64821123799859,0.700385485287021,0.808428433065229,0.707523899214247,0.747742992157869
