"","CensusYear","Population"
"356",2013,226496
"357",2014,228964
"358",2019,57331
"359",2015,4686
"360",2016,4701
"361",2013,7937
"362",2018,41321
"363",2019,41106
"364",2011,3575
"365",2012,3569
"366",2012,7404
"367",2013,7498
"368",2017,3930
"369",2013,8984
"370",2019,13760
"371",2011,5829
"372",2012,5833
"373",2017,10376
"374",2012,11136
"375",2010,5998
"376",2016,27523
"377",2014,12063
"378",2015,12103
"379",2015,4593
"380",2016,4563
"381",2010,6053
"382",2015,121974
"383",2016,121668
"384",2016,1601
"385",2010,3273
"386",2010,8711
"387",2016,9828
"388",2017,9785
"389",2010,198957
"390",2016,4951
"391",2019,8082
"392",2015,9384
"393",2016,9321
"394",2010,6501
"395",2014,23398
"396",2011,4799
"397",2017,116135
"398",2010,5468
"399",2016,62336
"400",2017,63026
"401",2014,1776
"402",2010,18879
"403",2010,6486
"404",2014,7372
"405",2018,12058
"406",2019,11831
"407",2014,16138
"408",2011,56699
"409",2012,57109
"410",2017,4770
"411",2019,7644
"412",2015,41828
"413",2016,41864
"414",2010,3587
"415",2017,7288
"416",2018,7168
"417",2011,4039
"418",2014,9425
"419",2015,9768
"420",2013,5721
"421",2010,11157
"422",2019,24648
"423",2014,34472
"424",2015,34467
"425",2010,15999
"426",2011,38379378
"427",2018,10290
"428",2013,34385
"429",2018,15889
"430",2019,15841
"431",2014,39488757
"432",2010,17705
"433",2016,29728
"434",2017,30708
"435",2011,36996
"436",2016,2522
"437",2017,2456
"438",2016,21337
"439",2010,6155
"440",2016,8579
"441",2017,8566
"442",2012,7433
"443",2013,7259
"444",2018,14022
"445",2019,13894
"446",2014,13669
"447",2015,13589
"448",2018,10404
"449",2019,10484
"450",2011,1830
"451",2012,7064
"452",2011,4606
"453",2013,42003
"454",2016,3371
"455",2017,3343
"456",2019,7102
"457",2013,3998
"458",2014,3944
"459",2010,6316
"460",2010,13953
"461",2015,10544
"462",2016,10443
"463",2017,24442
"464",2018,24629
"465",2011,34480
"466",2012,34408
"467",2017,16227
"468",2012,38756150
"469",2014,17007
"470",2019,32486
"471",2014,38165
"472",2018,2409
"473",2019,2342
"474",2014,21280
"475",2015,21287
"476",2011,8307
"477",2012,8371
"478",2019,6605
"479",2013,14030
"480",2014,14086
"481",2010,13787
"482",2010,8976
"483",2012,1816
"484",2013,1757
"485",2016,6934
"486",2017,6828
"487",2017,4353
"488",2018,4337
"489",2012,1473295
"490",2018,4826
"491",2019,4796
"492",2014,41939
"493",2018,3967
"494",2019,3967
"495",2016,10079
"496",2017,10478
"497",2015,13563
"498",2016,13689
"499",2010,5975
"500",2013,23736
"501",2018,34117
"502",2015,16145
"503",2016,16096
"504",2013,39117317
"505",2018,40860704
"506",2019,41147488
"507",2015,29041
"508",2010,36532
"509",2012,20936
"510",2013,21077
"511",2018,5521
"512",2019,5446
"513",2015,8542
"514",2017,6907
"515",2018,6669
"516",2015,14089
"517",2016,14113
"518",2011,13704
"519",2012,13653
"520",2015,9852
"521",2016,10066
"522",2014,1801
"523",2015,1713
"524",2015,6946
"525",2016,4407
"526",2013,1483298
"527",2012,8151
"528",2017,41741
"529",2010,7408
"530",2015,4038
"531",2016,3985
"532",2012,13751
"533",2013,13732
"534",2019,5232
"535",2014,10577
"536",2014,23986
"537",2015,24083
"538",2012,15885
"539",2013,16012
"540",2017,40568433
"541",2012,17187
"542",2013,17190
"543",2010,26715
"544",2015,2576
"545",2010,21074
"546",2015,5770
"547",2016,5713
"548",2016,7160
"549",2010,14575
"550",2019,13051
"551",2012,9023
"552",2013,9290
"553",2010,1812
"554",2010,7238
"555",2018,6839
"556",2014,1490481
"557",2015,1496993
"558",2017,15962
"559",2018,15619
"560",2011,27075
"561",2012,27420
"562",2017,39924
"563",2018,40281
"564",2013,2696
"565",2014,2633
"566",2019,20920
"567",2013,5815
"568",2014,5810
"569",2010,8269
"570",2012,14272
"571",2016,13431
"572",2017,13330
"573",2016,1691
"574",2019,4277
"575",2016,1502700
"576",2019,10963
"577",2014,13673
"578",2018,5300
"579",2012,10727
"580",2013,10618
"581",2016,24210
"582",2010,34505
"583",2015,39862578
"584",2015,16816
"585",2016,16504
"586",2012,37176
"587",2013,37658
"588",2011,21011
"589",2017,5617
"590",2013,8599
"591",2014,8531
"592",2010,7309
"593",2011,14479
"594",2018,13198
"595",2017,10209
"596",2013,7044
"597",2014,7008
"598",2010,4672
"599",2010,1446739
"600",2019,1500991
"601",2011,7427
"602",2012,8201
"603",2017,13650
"604",2018,13717
"605",2014,5541
"606",2015,5517
"607",2019,10222
"608",2010,24442
"609",2016,34502
"610",2017,34426
"611",2011,16091
"612",2016,40231299
"613",2019,15434
"614",2013,28116
"615",2014,28387
"616",2019,40539
"617",2011,2869
"618",2012,2761
"619",2017,21108
"620",2018,21079
"621",2011,6096
"622",2019,8375
"623",2011,7247
"624",2017,14152
"625",2011,9108
"626",2017,1691
"627",2018,1701
"628",2011,7138
"629",2012,4616
"630",2013,4520
"631",2017,1503753
"632",2011,7372
"633",2012,3987
"634",2018,10741
"635",2011,13815
"636",2016,5487
"637",2017,5387
"638",2011,10932
"639",2011,24126
"640",2012,24144
"641",2019,33817
"642",2014,15991
"643",2010,37922522
"644",2011,17452
"645",2018,31557
"646",2015,38691
"647",2016,39272
"648",2010,2958
"649",2012,5962
"650",2018,8461
"651",2014,7245
"652",2015,7133
"653",2013,13708
"654",2014,9602
"655",2019,1735
"656",2019,6855
"657",2014,4531
"658",2015,4439
"659",2011,1463356
"660",2018,1502395
"661",2000,323392
