"","mobfinal","Orleans-2019","Orleans-2004","Jefferson-2019","Jefferson-2004","St. Tammany-2019","St. Tammany-2004","New Orleans Metro Area-2019","New Orleans Metro Area-2004","United States-2019","United States-2004"
"1","abroad",0.00608117736983249,0.0013,0.00347057156707313,0.0044,0.00167664763619851,0,0.00339020000668333,0,0.00588356898000531,0.006
"2","tates",0.027853709725479,0.0206,0.0205705132558504,0.02,0.0248508676263404,0,0.0232938008907928,0,0.0227875658974729,0.0235
"3","difparish",0.0252212102760756,0.0085,0.0285537645865875,0.03,0.0305561269439604,0,0.0310552186484074,0,0.0323462648665655,0.0302
"4","withinparish",0.079081216235474,0.1131,0.0645474791519815,0.0958,0.0705744458718374,0,0.0667704704906998,0,0.0754996427507949,0.0973
"5","samehouse",0.861762686393139,0.8565,0.882857671438507,0.8498,0.872341911921663,0,0.875490309963417,0,0.863482957505161,0.843
