GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,DHN001,DHN002,DHN003,DHN004,DHN005,DHN006,DHN007,DHN008,DHN009,DHN010,DHN011,DHN012,DHN013,DHN014,DHN015,DHN016,DHN017,DHN018,DHN019,DHN020,DHN021,DHN022,DHN023,DHN024,DHN025,DHO001,DHO002,DHO003,DHO004,DHO005
"G0100510","1980","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,"ELMORE",3725,3750,8104,2505,2441,1990,1104,1025,205,115,0,0,0,0,0,10,0,33,12,4,0,0,0,0,0,95,36,59,18,9
"G0100530","1980","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,"ESCAMBIA",4088,2839,5797,1814,1311,2297,1357,1252,535,248,148,107,176,16,21,0,0,0,0,0,0,0,0,0,0,60,9,55,0,12
"G0100550","1980","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,,,,"ETOWAH",13261,10471,18371,7191,5114,2530,1376,1857,823,352,87,82,49,14,17,18,12,43,11,0,0,5,24,14,8,72,59,37,33,28
"G0100570","1980","3","6","Alabama","01",,"Fayette","057",,,,,,,,,,,,"FAYETTE",3481,2116,2968,647,766,444,276,354,104,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,5,0,7
"G0100590","1980","3","6","Alabama","01",,"Franklin","059",,,,,,,,,,,,"FRANKLIN",5097,3902,4884,1579,997,269,130,172,72,25,16,0,0,0,7,0,0,0,0,0,0,0,0,0,0,55,22,12,0,0
"G0100610","1980","3","6","Alabama","01",,"Geneva","061",,,,,,,,,,,,"GENEVA",4282,2459,4133,1203,839,680,329,330,93,20,46,12,21,0,2,0,0,0,0,0,0,0,0,0,0,45,21,40,10,8
"G0100630","1980","3","6","Alabama","01",,"Greene","063",,,,,,,,,,,,"GREENE",264,263,588,276,266,2149,812,693,202,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,5,19,10
"G0100650","1980","3","6","Alabama","01",,"Hale","065",,,,,,,,,,,,"HALE",844,669,1390,417,439,2742,933,617,222,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,59,29,20,5
"G0100670","1980","3","6","Alabama","01",,"Henry","067",,,,,,,,,,,,"HENRY",1623,1314,1789,691,703,1485,623,590,113,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10,34,0,6
"G0100690","1980","3","6","Alabama","01",,"Houston","069",,,,,,,,,,,,"HOUSTON",7019,5494,12111,4986,4947,3609,1621,1756,500,446,6,19,39,21,0,42,18,69,0,42,2,14,5,14,0,37,62,90,45,27
"G0100710","1980","3","6","Alabama","01",,"Jackson","071",,,,,,,,,,,,"JACKSON",9358,5252,8697,2986,1961,408,302,308,100,15,36,44,24,8,9,0,0,0,0,0,0,0,0,0,0,99,27,13,22,0
"G0100730","1980","3","6","Alabama","01","1000","Jefferson","073",,,,,,,,,,,,"JEFFERSON",37306,45858,99137,46342,52537,34353,23559,33404,16730,9962,64,90,113,80,66,157,101,210,124,574,29,14,57,66,90,497,504,741,269,352
"G0100750","1980","3","6","Alabama","01",,"Lamar","075",,,,,,,,,,,,"LAMAR",3101,1784,2796,592,528,510,173,188,48,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,16,1,0
"G0100770","1980","3","6","Alabama","01","2650","Lauderdale","077",,,,,,,,,,,,"LAUDERDALE",10266,6967,14539,4768,5729,1416,884,937,336,246,33,50,32,0,6,17,11,43,5,41,10,12,10,0,22,105,40,35,38,25
"G0100790","1980","3","6","Alabama","01",,"Lawrence","079",,,,,,,,,,,,"LAWRENCE",4627,3367,4858,869,587,928,563,527,232,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,47,29,0,0
"G0100810","1980","3","6","Alabama","01",,"Lee","081",,,,,,,,,,,,"LEE",3796,3704,7661,4168,7114,4430,1609,2138,509,498,21,24,13,0,0,8,11,36,35,154,12,6,12,0,11,29,30,31,30,53
"G0100830","1980","3","6","Alabama","01","3440","Limestone","083",,,,,,,,,,,,"LIMESTONE",6319,4163,7586,2500,2157,1533,751,670,132,112,0,0,0,0,0,22,20,9,10,6,0,0,0,0,0,73,9,36,0,0
"G0100850","1980","3","6","Alabama","01",,"Lowndes","085",,,,,,,,,,,,"LOWNDES",0,0,0,0,0,2146,877,766,257,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,28,3,0
"G0100870","1980","3","6","Alabama","01",,"Macon","087",,,,,,,,,,,,"MACON",666,473,933,360,386,3357,1867,2231,1492,2103,0,0,0,0,0,15,2,8,8,19,0,0,0,11,18,30,19,43,0,24
"G0100890","1980","3","6","Alabama","01","3440","Madison","089",,,,,,,,,,,,"MADISON",13764,11203,30028,16021,20544,4293,3345,4237,2576,2529,64,32,119,54,49,106,72,241,147,327,17,3,93,132,57,146,153,275,175,169
"G0100910","1980","3","6","Alabama","01",,"Marengo","091",,,,,,,,,,,,"MARENGO",0,0,0,0,0,3255,1345,1359,293,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,32,12,21,1
"G0100930","1980","3","6","Alabama","01",,"Marion","093",,,,,,,,,,,,"MARION",5888,4167,5113,1259,1044,125,114,81,39,41,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,61,54,10,10,0
"G0100950","1980","3","6","Alabama","01","3440","Marshall","095",,,,,,,,,,,,"MARSHALL",11259,7863,11794,4172,3350,165,138,138,73,19,11,19,0,15,0,22,13,15,0,0,17,6,0,0,8,158,66,62,9,3
"G0100970","1980","3","6","Alabama","01","5160","Mobile","097",,,,,,,,,,,,"MOBILE",21786,25676,54174,21935,20849,16999,11912,15260,6846,3725,168,123,224,84,75,200,97,170,131,211,67,18,43,79,66,472,343,619,269,190
