GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHY001,DHY002,DHY003,DHY004,DHY005,DHY006,DHY007,DHY008,DHY009,DHY010,DHY011,DHY012,DHY013,DHY014,DHY015,DHY016,DHY017,DHY018,DHY019,DHY020,DHY021,DHY022,DHY023,DHY024,DHY025,DHY026,DHY027,DHY028,DHY029,DHY030,DHY031,DHY032,DHY033,DHY034,DHY035,DHY036,DHY037,DHY038,DHY039,DHY040
"G0100010","1980","A","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,"05",,,,,"AUTAUGA",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,323,6402,325,1720,26,4116,214,4979,10,1119,148,860,0,890,220,1417,0,36,0,4,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100030","1980","A","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,"08",,,,,"BALDWIN",,,,,,,,,,,,"1","1",,,,,,"1",,,,,,"1",,,100,16384,710,6641,0,9681,916,15019,0,1854,318,1307,10,1626,474,2119,0,70,11,31,0,103,23,66,0,18,0,0,0,18,0,15,0,48,0,14,0,5,1,24
"G0100050","1980","A","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,"09",,,,,"BARBOUR",,,,"1",,,,,,,,,,,,,"1",,"1",,,,,"1","1",,,23,3376,163,1322,0,2236,163,3159,22,1500,217,1404,0,1473,225,2471,0,0,0,0,0,0,0,0,0,12,0,0,0,24,0,14,0,0,0,0,0,0,0,0
"G0100070","1980","A","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,"05",,,,,"BIBB",,,,"1","1",,,,,,"1","1",,,,,"1",,"1",,,,"1","1",,,,0,2876,252,1190,0,1532,159,2921,0,551,65,449,0,413,66,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100090","1980","A","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,"02",,,,,"BLOUNT",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,18,8555,700,3706,0,4875,404,8222,0,101,0,72,0,105,29,108,0,38,0,6,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100110","1980","A","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,"06",,,,,"BULLOCK",,"1",,,"1",,,,,,,,,,,,,,,,,,,,,"1",,0,0,0,0,0,0,0,0,15,875,90,1081,0,928,189,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100130","1980","A","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,"09",,,,,"BUTLER",,,,"1","1",,,,,,,,,,,,"1","1",,,,,"1","1",,,,0,3048,136,1562,0,2232,131,3178,10,1290,153,900,8,1115,153,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100150","1980","A","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,"03",,,,,"CALHOUN",,,,,,,,,,,,,,,,,,,,,,,,,,,,4456,21444,1456,9008,1220,15051,1644,20182,1267,2839,437,2207,523,2902,685,3788,62,52,23,4,15,44,0,25,80,62,0,20,16,71,14,175,231,44,13,7,59,40,12,50
"G0100170","1980","A","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,"04",,,,,"CHAMBERS",,,,"1","1",,,,,"1",,"1",,,,,,,,,,,"1",,"1",,,22,6548,181,2441,5,4774,504,5309,0,2466,210,1232,0,2118,430,2552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100190","1980","A","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,"03",,,,,"CHEROKEE",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,,,,,,8,4069,308,1920,0,2709,215,3758,2,278,38,145,0,326,30,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100210","1980","A","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,"05",,,,,"CHILTON",,,,,,,,,,"1",,"1",,,,,"1",,"1",,,,,,,,,2,6519,532,2608,0,3626,326,6604,14,503,154,440,0,430,123,712,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,7,0,0,0,0,0,0,0,0
"G0100230","1980","A","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,"07",,,,,"CHOCTAW",,,,"1","1",,,,,"1","1",,,,,,,,,,,"1",,"1",,"1",,0,2171,102,1109,0,1200,82,2367,0,1136,130,889,0,833,145,1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100250","1980","A","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,"07",,,,,"CLARKE",,,,,"1",,,,,,,,,,,,,,,,,,"1","1",,,,0,4075,195,1375,0,2246,155,3756,0,1853,226,1445,0,1266,241,2557,0,19,0,7,0,14,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100270","1980","A","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,"04",,,,,"CLAY",,,"1","1",,,,,,,,,,,,,,,,,,,,,,"1",,12,2624,173,1288,7,1932,111,2521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100290","1980","A","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,,,,"04",,,,,"CLEBURNE",,,,,"1","1",,,,"1",,"1",,"1",,,"1",,"1","1",,,,,,,,9,2916,155,1224,6,2057,159,2341,0,134,0,75,0,114,19,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100310","1980","A","3","6","Alabama","01",,"Coffee","031",,,,,,,,,,,,"09",,,,,"COFFEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,7183,367,2835,85,5219,406,6665,26,1161,163,610,0,1189,93,1102,0,47,0,3,0,37,0,24,0,6,0,6,0,35,25,72,26,0,0,0,0,16,0,23
"G0100330","1980","A","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,,,,"01",,,,,"COLBERT",,,,,"1",,,,,,,,,,,,,"1","1",,,,,"1","1",,,0,11475,940,4021,0,6899,647,10616,5,1539,333,836,0,1480,313,1731,0,23,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100350","1980","A","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,,,,"09",,,,,"CONECUH",,,"1","1",,,,,,"1","1",,,,,,,,,,,,"1","1",,"1",,12,2105,131,1178,0,1459,98,2218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100370","1980","A","3","6","Alabama","01",,"Coosa","037",,,,,,,,,,,,"04",,,,,"COOSA",,,"1",,"1",,,,,,,,,,,,,,,"1",,,,,,"1",,4,1833,78,844,0,1262,70,1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100390","1980","A","3","6","Alabama","01",,"Covington","039",,,,,,,,,,,,"09",,,,,"COVINGTON",,,,"1",,,,,,,"1",,"1",,,,,,"1",,,,,,,,,27,7731,433,3489,0,5616,401,7244,7,713,121,454,0,987,144,759,0,0,0,0,0,0,0,0,0,25,0,0,0,10,0,12,0,0,0,0,0,0,0,0
"G0100410","1980","A","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,,,,"09",,,,,"CRENSHAW",,,,,"1",,,,,"1",,"1",,,,,"1",,"1",,,,,,,,,19,2334,84,1287,0,1724,105,2418,0,497,60,527,0,539,78,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100430","1980","A","3","6","Alabama","01",,"Cullman","043",,,,,,,,,,,,"02",,,,,"CULLMAN",,,,,"1",,,,,,,,,,,,,"1","1",,,,,,"1",,,44,14566,1186,6077,0,9273,892,13585,0,73,0,57,0,122,35,94,0,33,2,24,0,25,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100450","1980","A","3","6","Alabama","01",,"Dale","045",,,,,,,,,,,,"09",,,,,"DALE",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,4766,6935,478,2867,434,5110,617,7494,1058,993,76,599,176,1022,188,1209,44,32,6,10,7,39,16,87,85,13,0,12,0,100,18,172,151,17,0,0,20,23,0,43
"G0100470","1980","A","3","6","Alabama","01",,"Dallas","047",,,,,,,,,,,,"06",,,,,"DALLAS",,,,"1",,,,,,,"1",,"1",,,,,"1",,,,,,,"1",,,36,6313,263,1963,6,4699,238,5052,6,3981,739,3657,0,4049,740,6192,0,0,0,0,0,0,0,0,0,14,0,0,0,10,0,20,0,0,0,0,0,0,0,0
"G0100490","1980","A","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,,,,"02",,,,,"DE KALB",,,,,,,,,,,,,,,,,,,"1",,,,,,"1",,,29,12411,857,5281,3,8282,653,11597,0,177,37,87,0,159,10,174,0,31,0,9,0,18,2,23,0,12,0,2,0,11,0,16,0,2,0,0,0,23,0,11
"G0100510","1980","A","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,"05",,,,,"ELMORE",,,,"1",,,,,,,"1","1",,,,,"1",,"1",,,,"1","1",,,,224,8501,330,3432,21,5603,326,6941,5,1166,162,1797,0,1275,138,1855,0,0,0,0,0,0,0,0,0,0,0,11,0,20,0,34,0,0,0,0,0,0,0,0
"G0100530","1980","A","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,"08",,,,,"ESCAMBIA",,,,,"1",,,,,,"1",,"1",,,,,,,,,,,"1",,,,41,6336,333,2843,0,3696,435,6105,0,1641,272,1979,0,1379,350,2110,0,227,19,36,0,126,14,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100550","1980","A","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,,,,"03",,,,,"ETOWAH",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,59,21104,1523,8661,11,13011,1228,21388,10,2177,255,1656,0,2118,412,2726,2,72,7,87,0,24,10,128,0,25,6,16,0,37,3,48,8,16,0,30,0,5,0,35
"G0100570","1980","A","3","6","Alabama","01",,"Fayette","057",,,,,,,,,,,,"05",,,,,"FAYETTE",,,,,"1",,,,,,,"1","1",,,,"1",,,,,,"1",,"1",,,0,3960,239,1668,0,2614,201,3602,0,451,34,275,0,405,40,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100590","1980","A","3","6","Alabama","01",,"Franklin","059",,,,,,,,,,,,"05",,,,,"FRANKLIN",,,,,"1",,,,,,,,,,,,,"1","1",,,,,"1","1",,,0,6230,612,2864,0,4113,427,6175,0,207,48,144,0,221,31,279,0,6,0,8,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100610","1980","A","3","6","Alabama","01",,"Geneva","061",,,,,,,,,,,,"09",,,,,"GENEVA",,,,,"1",,,,,,"1",,"1",,,,,"1",,,,,"1","1",,,,72,5142,197,2187,47,3338,229,4627,5,458,34,400,0,430,57,652,0,16,0,29,0,0,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100630","1980","A","3","6","Alabama","01",,"Greene","063",,,,,,,,,,,,"06",,,,,"GREENE",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,636,16,274,0,414,14,631,12,996,238,1153,0,912,234,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100650","1980","A","3","6","Alabama","01",,"Hale","065",,,,,,,,,,,,"06",,,,,"HALE",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,7,1418,53,629,0,916,69,1473,4,1323,298,1269,0,1078,170,2317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100670","1980","A","3","6","Alabama","01",,"Henry","067",,,,,,,,,,,,"09",,,,,"HENRY",,,,,"1",,,,,"1",,,"1",,,,"1",,,,,,,,,"1",,8,2322,130,971,0,1527,88,2261,2,1069,23,600,0,764,127,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100690","1980","A","3","6","Alabama","01",,"Houston","069",,,,,,,,,,,,"09",,,,,"HOUSTON",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,155,15674,452,4138,16,10307,559,11875,39,2621,237,1773,5,2636,291,3205,0,67,11,10,0,28,0,32,0,76,4,24,0,56,0,77,0,19,0,2,0,11,5,11
"G0100710","1980","A","3","6","Alabama","01",,"Jackson","071",,,,,,,,,,,,"02",,,,,"JACKSON",,,,,"1",,,,,,,"1","1",,,,,,,,,,,"1",,,,16,11922,1036,4272,19,7303,758,10400,0,434,50,146,0,381,82,355,0,65,9,7,0,17,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100730","1980","A","3","6","Alabama","01","1000","Jefferson","073",,,,,,,,,,,,"A",,,,,"JEFFERSON",,,,,,,,,,,,,,,,,,,,,,,,,,,,212,121211,5547,36034,18,85505,3872,98111,165,37715,5627,25920,28,36091,4969,48204,0,197,5,26,0,149,28,198,0,456,23,178,0,319,18,403,0,82,23,86,0,61,0,122
"G0100750","1980","A","3","6","Alabama","01",,"Lamar","075",,,,,,,,,,,,"05",,,,,"LAMAR",,,,"1","1",,,,,,"1","1","1",,,,"1",,,,,,,"1","1","1",,28,3513,216,1450,0,2408,119,3099,0,330,42,227,0,285,44,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100770","1980","A","3","6","Alabama","01","2650","Lauderdale","077",,,,,,,,,,,,"01",,,,,"LAUDERDALE",,,,,,,,,,,,,,,,,,,,,,,,,,,,32,18360,1461,6242,7,11389,1076,16473,11,1234,210,890,6,1307,193,1543,0,44,6,7,0,37,6,55,0,28,7,0,0,21,5,70,0,16,0,0,0,18,0,26
"G0100790","1980","A","3","6","Alabama","01",,"Lawrence","079",,,,,,,,,,,,"01",,,,,"LAWRENCE",,,,"1","1",,,,,"1","1",,,,,,"1","1",,,,,,,,"1",,6,5647,645,2591,0,3255,362,5692,6,798,140,529,0,604,95,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100810","1980","A","3","6","Alabama","01",,"Lee","081",,,,,,,,,,,,"04",,,,,"LEE",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,217,14144,578,8719,24,10115,603,11893,26,3227,375,2076,0,3075,443,3584,0,19,15,8,0,27,0,19,0,85,0,79,9,60,7,66,0,22,0,18,0,0,0,29
"G0100830","1980","A","3","6","Alabama","01","3440","Limestone","083",,,,,,,,,,,,"01",,,,,"LIMESTONE",,,,"1",,,,,,,,"1","1",,,,,,,,,,,,"1",,,78,9545,763,3490,50,5805,572,8644,18,1080,246,767,3,1169,111,1060,0,0,0,0,0,0,0,0,0,14,5,6,0,26,0,28,0,0,0,0,0,0,0,0
"G0100850","1980","A","3","6","Alabama","01",,"Lowndes","085",,,,,,,,,,,,"06",,,,,"LOWNDES",,"1",,"1",,,,,,,,,,,,,,,,,,,,,,"1",,0,0,0,0,0,0,0,0,21,1202,262,1259,0,1045,172,2204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100870","1980","A","3","6","Alabama","01",,"Macon","087",,,,,,,,,,,,"05",,,,,"MACON",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,880,48,777,0,626,49,924,40,3198,372,3819,0,3221,502,5313,0,0,0,0,0,0,0,0,0,25,0,17,0,0,0,18,0,14,0,31,0,0,0,25
"G0100890","1980","A","3","6","Alabama","01","3440","Madison","089",,,,,,,,,,,,"F",,,,,"MADISON",,,,,,,,,,,,,,,,,,,,,,,,,,,,3040,40186,2591,11555,335,28560,2371,29346,878,6638,926,3991,199,6809,1106,6443,24,116,25,71,7,118,18,96,38,272,12,66,9,252,43,387,158,94,12,122,14,41,24,62
"G0100910","1980","A","3","6","Alabama","01",,"Marengo","091",,,,,,,,,,,,"06",,,,,"MARENGO",,"1",,,"1",,,,,"1",,"1",,,,,,,,,,"1",,,"1",,,0,0,0,0,0,0,0,0,7,1827,277,1852,0,1441,152,3238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100930","1980","A","3","6","Alabama","01",,"Marion","093",,,,,,,,,,,,"05",,,,,"MARION",,,,"1",,,,,,,,,,,,,"1","1",,,,,,,,"1",,16,6734,610,3040,0,4877,371,6093,0,159,18,62,0,130,24,140,0,0,0,0,0,0,0,0,0,11,0,8,0,19,0,0,0,0,0,0,0,0,0,0
"G0100950","1980","A","3","6","Alabama","01","3440","Marshall","095",,,,,,,,,,,,"02",,,,,"MARSHALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,135,15193,1108,6533,43,10230,961,14147,0,183,57,107,0,181,7,179,0,24,0,0,0,17,0,15,0,0,0,0,0,15,0,46,0,21,0,0,0,6,0,4
"G0100970","1980","A","3","6","Alabama","01","5160","Mobile","097",,,,,,,,,,,,"D",,,,,"MOBILE",,,,,,,,,,,,,,,,,,,,,,,,,,,,1192,65474,2890,19188,88,40495,2125,54207,228,19211,2605,11993,48,16527,3182,23073,5,324,21,142,0,157,45,208,30,269,3,172,0,177,29,379,14,127,0,102,0,64,0,104
"G0100990","1980","A","3","6","Alabama","01",,"Monroe","099",,,,,,,,,,,,"09",,,,,"MONROE",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3198,130,1240,9,2017,101,2856,2,1429,250,1074,0,1114,198,1996,0,27,0,10,0,24,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0101010","1980","A","3","6","Alabama","01","5240","Montgomery","101",,,,,,,,,,,,"C",,,,,"MONTGOMERY",,,,,,,,,,,,,,,,,,,,,,,,,,,,3033,30102,985,8823,388,23850,1068,23213,660,12257,1656,8379,132,12883,1864,14715,10,34,7,5,6,53,5,32,32,68,15,42,6,181,21,189,56,55,0,19,24,28,0,44
"G0101030","1980","A","3","6","Alabama","01",,"Morgan","103",,,,,,,,,,,,"01",,,,,"MORGAN",,,,,,,,,,,"1",,"1",,,,,"1",,,,,,,,,,94,21020,1413,6576,32,13303,1303,16694,0,1386,257,833,5,1167,254,1691,0,34,0,6,0,18,7,15,0,23,0,6,0,40,7,80,0,0,0,0,0,7,0,20
"G0101050","1980","A","3","6","Alabama","01",,"Perry","105",,,,,,,,,,,,"06",,,,,"PERRY",,,,,"1",,,,"1",,,"1",,,,"1",,,"1",,,,,,,,,17,1371,103,725,0,1034,25,1462,20,1212,122,1158,0,991,130,2126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0101070","1980","A","3","6","Alabama","01",,"Pickens","107",,,,,,,,,,,,"05",,,,,"PICKENS",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,"1","1",,"1",,2,3129,138,1385,0,2072,202,2725,0,1178,193,1194,1,867,275,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0101090","1980","A","3","6","Alabama","01",,"Pike","109",,,,,,,,,,,,"09",,,,,"PIKE",,,,,"1",,,,,,,,,,,,,"1","1",,,,,"1","1",,,56,4420,167,2253,6,3371,237,4083,14,1459,211,1187,0,1515,180,2156,0,14,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0101110","1980","A","3","6","Alabama","01",,"Randolph","111",,,,,,,,,,,,"04",,,,,"RANDOLPH",,,,"1","1",,,,,,,,,,,,,,,,,,,,,"1",,12,3343,264,1772,0,2476,299,3441,8,780,55,587,0,708,167,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0101130","1980","A","3","6","Alabama","01","1800","Russell","113",,,,,,,,,,,,"B",,,,,"RUSSELL",,,,,,,,,,,,,,,,,,,,,,,,,,,,176,6963,507,2711,15,4957,435,6016,63,3079,396,2107,20,2589,436,4077,9,6,0,0,0,12,9,11,0,6,0,0,0,35,6,27,0,0,0,0,0,8,0,22
"G0101150","1980","A","3","6","Alabama","01","1000","St Clair","115",,,,,,,,,,,,"03",,,,,"ST. CLAIR",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,17,9302,518,3234,10,5293,442,8152,0,670,99,486,0,509,134,854,6,7,6,15,0,22,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0101170","1980","A","3","6","Alabama","01","1000","Shelby","117",,,,,,,,,,,,"03",,,,,"SHELBY",,,,"1",,,,,,,,"1","1",,,,,,"1",,,,,,"1",,,40,16081,725,4175,9,9590,558,11886,0,1112,197,794,0,917,197,1282,0,0,0,0,0,0,0,0,0,44,0,15,0,65,1,41,0,0,0,0,0,0,0,0
"G0101190","1980","A","3","6","Alabama","01",,"Sumter","119",,,,,,,,,,,,"06",,,,,"SUMTER",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,0,1326,66,617,0,971,38,1101,8,1594,272,1589,0,1317,261,2671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0101210","1980","A","3","6","Alabama","01",,"Talladega","121",,,,,,,,,,,,"03",,,,,"TALLADEGA",,,,,,,,,,,,"1","1",,,,,,,,,,,"1","1",,,66,12252,885,4875,7,7891,860,11219,51,3561,376,2404,118,3013,533,4250,0,0,0,8,0,13,5,8,0,6,0,0,0,0,0,14,0,8,0,0,0,11,0,14
"G0101230","1980","A","3","6","Alabama","01",,"Tallapoosa","123",,,,,,,,,,,,"04",,,,,"TALLAPOOSA",,,,"1",,,,,,,"1",,"1",,,,,"1","1",,,,,,"1",,,21,7029,246,2827,0,5640,265,5435,11,1742,170,1191,6,1748,238,1775,0,0,0,0,0,0,0,0,0,23,17,12,0,9,0,43,0,0,0,0,0,0,0,0
"G0101250","1980","A","3","6","Alabama","01","8600","Tuscaloosa","125",,,,,,,,,,,,"E",,,,,"TUSCALOOSA",,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,119,24260,1521,12805,0,17493,1148,21428,35,5859,786,4529,0,5803,1033,7590,0,23,0,21,0,12,0,27,0,80,0,49,0,61,0,77,0,27,0,32,0,18,22,26
"G0101270","1980","A","3","6","Alabama","01","1000","Walker","127",,,,,,,,,,,,"03",,,,,"WALKER",,,,,"1",,,,,,,,,,,,,,,,,,,"1","1",,,19,14753,1088,6558,6,7434,837,16376,0,669,100,627,0,546,148,1174,0,37,10,2,0,22,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0101290","1980","A","3","6","Alabama","01",,"Washington","129",,,,,,,,,,,,"07",,,,,"WASHINGTON",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,,,,,,8,2771,153,1044,0,1245,149,2750,3,797,125,494,0,574,126,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0101310","1980","A","3","6","Alabama","01",,"Wilcox","131",,,,,,,,,,,,"06",,,,,"WILCOX",,,,"1","1",,,,"1",,"1",,,,,"1",,"1",,,,,,,,,,12,1108,43,482,5,689,53,1105,0,1060,213,1595,0,935,98,2436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0101330","1980","A","3","6","Alabama","01",,"Winston","133",,,,,,,,,,,,"05",,,,,"WINSTON",,,,,"1",,,,,,"1","1",,,,,,"1","1",,,,,,,"1",,0,5150,420,2137,0,3244,278,4838,0,21,11,7,0,4,0,29,0,0,0,6,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0200100","1980","S","4","9","Alaska","02",,"Aleutian Islands","010",,,,,,,,,,,,"01",,,,,"ALEUTIAN ISLANDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,1589,975,4,96,272,654,63,291,181,39,0,0,49,21,7,8,11,261,78,364,6,160,9,410,57,223,0,5,11,77,12,68,7,13,0,0,0,9,0,2
"G0200200","1980","B","4","9","Alaska","02","0380","Anchorage","020",,,,,,,,,,,,"01",,,,,"ANCHORAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,7812,38549,3650,7451,970,30855,1816,18261,1344,1567,298,389,251,1636,207,621,82,1234,409,844,17,1406,338,1653,188,877,74,179,17,991,65,622,194,307,130,61,39,332,32,287
"G0200500","1980","S","4","9","Alaska","02",,"Bethel","050",,,,,,,,,,,,"01",,,,,"BETHEL",,,,,"1",,,,,"1",,"1",,,,"1","1",,,"1",,,"1",,"1",,,16,625,41,53,0,416,20,92,16,12,0,2,0,9,0,0,14,1127,240,1606,0,802,90,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0200600","1980","A","4","9","Alaska","02",,"Bristol Bay Borough","060",,,,,,,,,,,,"01",,,,,"BRISTOL BAY",,,,,"1",,,,,,"1",,"1","1",,,,,,,,,,"1",,"1",,262,124,6,44,4,63,6,52,42,0,0,0,4,0,0,0,4,48,15,54,0,44,15,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0200700","1980","S","4","9","Alaska","02",,"Dillingham","070",,,,,,,,,,,,"01",,,,,"DILLINGHAM",,,,,"1","1",,,,,,"1","1","1",,"1",,,,"1",,,,"1","1",,,1,364,20,47,0,268,3,104,0,0,0,0,0,0,0,0,0,354,136,651,0,313,109,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0200900","1980","A","4","9","Alaska","02",,"Fairbanks North Star","090",,,,,,,,,,,,"01",,,,,"FAIRBANKS NORTH STAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,3760,10801,1542,2622,411,7975,786,5835,676,378,109,154,78,412,67,310,39,382,86,254,10,368,71,773,37,125,0,50,5,167,43,182,136,116,20,45,7,87,9,88
"G0201000","1980","A","4","9","Alaska","02",,"Haines","100",,,,,,,,,,,,"01",,,,,"HAINES",,,"1",,"1","1",,,,"1",,,"1",,,,"1",,,,,,,"1",,,,0,400,24,114,0,236,16,255,0,0,0,0,0,0,0,0,0,46,16,17,0,30,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0201100","1980","B","4","9","Alaska","02",,"Juneau","110",,,,,,,,,,,,"01",,,,,"JUNEAU",,,,,,,,,,,,,,,,,"1",,,,,,"1",,,,,167,5146,368,719,0,4169,218,1648,6,33,0,8,0,16,0,15,0,335,130,206,0,430,33,294,9,111,0,36,0,98,0,77,0,11,8,8,0,11,12,14
