GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHY001,DHY002,DHY003,DHY004,DHY005,DHY006,DHY007,DHY008,DHY009,DHY010,DHY011,DHY012,DHY013,DHY014,DHY015,DHY016,DHY017,DHY018,DHY019,DHY020,DHY021,DHY022,DHY023,DHY024,DHY025,DHY026,DHY027,DHY028,DHY029,DHY030,DHY031,DHY032,DHY033,DHY034,DHY035,DHY036,DHY037,DHY038,DHY039,DHY040
"G2800590","1980","A","3","6","Mississippi","28","6025","Jackson","059",,,,,,,,,,,,"08",,,,,"JACKSON",,,,,,,,,,,,,,,,,,,,,,,,,,,,1801,23594,1671,6729,188,14340,1212,18306,166,3734,833,1754,5,3472,783,2798,6,131,22,29,0,89,6,78,66,56,9,62,0,89,22,141,40,71,0,0,5,25,0,16
"G2800610","1980","A","3","6","Mississippi","28",,"Jasper","061",,,,,,,,,,,,"06",,,,,"JASPER",,,,"1","1",,,,,"1","1",,,,,,,,,,,,"1","1",,,,0,2081,122,1025,0,1170,88,2211,0,1261,169,1118,0,940,236,1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2800630","1980","A","3","6","Mississippi","28",,"Jefferson","063",,,,,,,,,,,,"03",,,,,"JEFFERSON",,,,,,,,,,,,,,,,,,,,,,,,,,"1",,0,469,3,213,0,214,25,455,2,1082,283,840,0,960,228,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2800650","1980","A","3","6","Mississippi","28",,"Jefferson Davis","065",,,,,,,,,,,,"06",,,,,"JEFFERSON DAVIS",,,,,"1",,,,,,,,,,,,"1",,"1","1",,"1",,,"1","1",,0,1440,87,791,0,782,27,1743,0,1037,156,969,0,923,159,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2800670","1980","A","3","6","Mississippi","28",,"Jones","067",,,,,,,,,,,,"06",,,,,"JONES",,,,,,,,,,,"1","1",,,,,"1","1",,,,,,,,,,37,11951,392,4786,0,7428,440,11357,0,2394,284,1719,4,2239,306,2751,0,0,0,7,0,0,0,8,0,11,0,0,0,15,0,19,0,7,0,5,0,13,0,7
"G2800690","1980","A","3","6","Mississippi","28",,"Kemper","069",,,,,,,,,,,,"06",,,,,"KEMPER",,,,,,,,,,,,,,,,,,,,,,,,,,"1",,16,1097,53,560,0,689,19,1172,0,842,102,755,0,562,117,1163,0,0,0,17,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2800710","1980","A","3","6","Mississippi","28",,"Lafayette","071",,,,,,,,,,,,"04",,,,,"LAFAYETTE",,,,"1",,,,,,,"1",,"1",,,,,"1",,,,,,,,,,112,5298,131,3907,7,4506,219,4611,21,1453,85,927,0,1448,173,1382,0,0,0,0,0,0,0,0,0,66,0,29,0,37,6,23,0,0,0,0,0,0,0,0
"G2800730","1980","A","3","6","Mississippi","28",,"Lamar","073",,,,,,,,,,,,"07",,,,,"LAMAR",,,,"1",,,,,,,,,,,,,,"1",,,,,,"1","1",,,30,5196,155,1975,0,3064,170,4512,0,444,52,304,0,350,72,459,0,0,0,0,0,0,0,0,0,25,3,9,0,19,0,18,0,0,0,0,0,0,0,0
"G2800750","1980","A","3","6","Mississippi","28",,"Lauderdale","075",,,,,,,,,,,,"06",,,,,"LAUDERDALE",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,1888,12385,581,4400,324,9256,536,11327,337,3608,452,2627,103,3806,538,4373,14,18,0,0,0,0,5,22,77,48,0,4,9,64,11,87,87,20,0,15,23,18,0,27
"G2800770","1980","A","3","6","Mississippi","28",,"Lawrence","077",,,,,,,,,,,,"06",,,,,"LAWRENCE",,,"1","1",,,,,,"1","1",,,,,,,,,,,,"1","1",,,,20,2109,51,845,0,1102,33,2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2800790","1980","A","3","6","Mississippi","28",,"Leake","079",,,,,,,,,,,,"06",,,,,"LEAKE",,,,"1",,,,,,,"1",,"1",,,,,,,,,,,"1",,"1",,0,2440,187,1602,0,1531,75,3063,0,1014,119,864,0,865,122,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2800810","1980","A","3","6","Mississippi","28",,"Lee","081",,,,,,,,,,,,"05",,,,,"LEE",,,,"1",,,,,,,,,,,,,,,,,,,,,"1",,,24,11777,666,3494,5,9694,361,7883,0,2046,255,1096,0,2284,213,1718,0,0,0,0,0,0,0,0,0,12,0,0,0,21,0,17,0,0,0,0,0,0,0,0
"G2800830","1980","A","3","6","Mississippi","28",,"Leflore","083",,,,,,,,,,,,"01",,,,,"LEFLORE",,,,"1",,,,,,,,"1","1",,,,,,,,,,,,"1",,,35,4366,81,1431,0,3270,162,3560,6,3178,478,3353,0,2978,672,5254,0,0,0,0,0,0,0,0,0,44,0,13,0,47,0,15,0,0,0,0,0,0,0,0
"G2800850","1980","A","3","6","Mississippi","28",,"Lincoln","085",,,,,,,,,,,,"03",,,,,"LINCOLN",,,,"1",,,,,,,"1","1",,,,,,"1","1",,,,"1",,"1",,,0,4917,251,2318,0,2985,155,5052,0,1407,116,1027,0,1335,131,1787,0,0,0,0,0,0,0,0,0,6,0,5,0,8,0,33,0,0,0,0,0,0,0,0
"G2800870","1980","A","3","6","Mississippi","28",,"Lowndes","087",,,,,,,,,,,,"05",,,,,"LOWNDES",,,,,,,,,,,,,,,,,,"1","1",,,,,"1",,,,2249,8399,388,2329,165,7115,378,7357,319,2905,461,1768,18,2752,533,3724,0,13,0,6,0,33,0,21,5,26,7,12,0,46,4,85,35,0,0,5,8,17,0,32
"G2800890","1980","A","3","6","Mississippi","28",,"Madison","089",,,,,,,,,,,,"02",,,,,"MADISON",,,,"1",,,,,,,"1",,"1",,,,,"1",,,,,,"1","1",,,19,5253,165,1277,6,3799,98,3325,0,3257,469,2904,0,3176,417,4657,0,0,0,0,0,0,0,0,0,39,0,0,0,10,0,25,0,0,0,0,0,0,0,0
"G2800910","1980","A","3","6","Mississippi","28",,"Marion","091",,,,,,,,,,,,"06",,,,,"MARION",,,,,,,,,,,"1","1",,,,,"1","1",,,,,,"1","1",,,5,4263,180,1940,0,2498,216,4361,0,1118,107,898,0,964,165,1591,0,12,0,0,0,0,0,16,0,0,0,6,0,5,0,6,0,0,0,0,0,0,0,0
"G2800930","1980","A","3","6","Mississippi","28",,"Marshall","093",,,,,,,,,,,,"02",,,,,"MARSHALL",,,,"1",,,,,,,"1","1",,,,,,"1","1",,,,,,,"1",,0,3396,225,1347,0,2041,158,2965,3,2323,425,1870,3,1918,325,3235,0,0,0,0,0,0,0,0,0,9,0,12,0,17,0,15,0,0,0,0,0,0,0,0
"G2800950","1980","A","3","6","Mississippi","28",,"Monroe","095",,,,,,,,,,,,"05",,,,,"MONROE",,,,"1","1",,,,,,,,,,,,,,,,,,,,,"1",,25,6333,358,2391,7,4785,163,5212,11,1619,156,1332,0,1748,143,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2800970","1980","A","3","6","Mississippi","28",,"Montgomery","097",,,,,,,,,,,,"06",,,,,"MONTGOMERY",,,"1","1",,,,,,,,,,"1",,,,,,"1",,,,,,"1",,0,1825,135,935,0,1303,82,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2800990","1980","A","3","6","Mississippi","28",,"Neshoba","099",,,,,,,,,,,,"06",,,,,"NESHOBA",,,,,"1",,,,,,,,,,,,,"1",,,,,,"1",,,,0,3962,210,1949,0,2681,240,3768,0,627,166,529,0,520,104,803,0,443,36,174,0,360,69,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2801010","1980","A","3","6","Mississippi","28",,"Newton","101",,,,,,,,,,,,"06",,,,,"NEWTON",,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,39,3391,83,1671,0,2207,189,3320,0,947,59,686,0,721,153,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2801030","1980","A","3","6","Mississippi","28",,"Noxubee","103",,,,,,,,,,,,"05",,,,,"NOXUBEE",,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,0,1261,45,461,0,693,39,1117,3,1161,200,1109,0,829,238,1857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2801050","1980","A","3","6","Mississippi","28",,"Oktibbeha","105",,,,,,,,,,,,"05",,,,,"OKTIBBEHA",,,,"1",,,,,,,,,,,,,,,,,,,,,,,,25,5660,199,4180,0,4171,234,4677,7,1717,361,1557,0,1866,334,2366,0,0,0,0,0,0,0,0,0,49,0,78,0,13,0,57,0,0,0,0,0,0,0,0
"G2801070","1980","A","3","6","Mississippi","28",,"Panola","107",,,,,,,,,,,,"02",,,,,"PANOLA",,,,"1","1",,,,,,"1",,"1",,,,,,,,,,,"1",,,,0,3427,166,1602,0,2313,171,3285,4,2194,330,1476,0,1607,295,2730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2801090","1980","A","3","6","Mississippi","28",,"Pearl River","109",,,,,,,,,,,,"07",,,,,"PEARL RIVER",,,,,,,,,,,"1","1",,,,,,"1","1",,,,,,,,,31,6578,487,3002,0,3663,308,6731,3,613,127,671,0,613,141,1082,0,18,0,45,0,0,0,9,0,0,0,7,0,0,0,17,0,0,0,0,0,0,0,0
"G2801110","1980","A","3","6","Mississippi","28",,"Perry","111",,,,,,,,,,,,"07",,,,,"PERRY",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,"1","1",,"1",,21,1728,108,777,0,965,91,1833,0,305,47,253,0,220,51,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2801130","1980","A","3","6","Mississippi","28",,"Pike","113",,,,,,,,,,,,"03",,,,,"PIKE",,,,,"1",,,,,,"1","1",,,,,,"1","1",,,,,,,,,20,4812,211,2134,0,3282,194,4959,0,2436,287,1820,0,2240,438,2959,0,8,0,0,0,5,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2801150","1980","A","3","6","Mississippi","28",,"Pontotoc","115",,,,,,,,,,,,"04",,,,,"PONTOTOC",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,0,4095,313,1847,9,3172,209,3569,0,650,72,356,0,546,44,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2801170","1980","A","3","6","Mississippi","28",,"Prentiss","117",,,,,,,,,,,,"04",,,,,"PRENTISS",,,,,"1",,,,,,,,,,,,,,,"1",,,,,,,,0,4932,363,2307,0,3947,126,4328,0,428,57,273,0,525,15,396,0,0,13,10,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2801190","1980","A","3","6","Mississippi","28",,"Quitman","119",,,,,,,,,,,,"01",,,,,"QUITMAN",,,,"1",,,,,,,,"1","1",,,,,,"1","1",,"1",,,,,,1,1317,71,571,0,875,36,1286,0,922,139,914,0,706,146,1476,0,0,0,0,0,0,0,0,0,13,0,0,0,12,0,6,0,0,0,0,0,0,0,0
"G2801210","1980","A","3","6","Mississippi","28","3560","Rankin","121",,,,,,,,,,,,"06",,,,,"RANKIN",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,83,15360,460,3596,17,10863,437,9707,5,2220,217,1726,10,2044,209,2366,0,37,2,0,0,28,0,12,0,34,0,9,0,20,0,20,0,7,0,8,0,0,0,6
"G2801230","1980","A","3","6","Mississippi","28",,"Scott","123",,,,,,,,,,,,"06",,,,,"SCOTT",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,,,,,,0,3930,165,1539,0,2642,149,3322,0,1462,119,958,0,1333,111,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
